고객ID,주간통화횟수,주간통화시간_분,야간통화횟수,야간통화시간_분,주말통화횟수,주말통화시간_분,국제통화시간_분,국내통화요금_분,월
"K102440",7,3.949563,1,3.054740,1,1.002819,0.298532,0,"1월"
"K102520",0,0.000000,3,13.769723,0,0.000000,2.554955,0,"1월"
"K102530",1,8.649085,1,7.776241,1,3.173976,1.417829,0,"1월"
"K102630",57,88.236025,3,5.974765,4,7.013855,31.049216,2,"1월"
"K102740",34,67.730418,25,59.183484,3,7.346421,39.612372,2,"1월"
"K102800",51,105.052723,5,36.884506,0,0.000000,47.172160,6,"1월"
"K102960",39,82.103674,10,45.228326,5,9.982829,41.502342,3,"1월"
"K103120",61,92.571761,29,63.577784,4,7.052589,33.592435,6,"1월"
"K103160",40,86.315638,4,14.235695,0,0.000000,22.709284,3,"1월"
"K103250",42,90.920700,13,36.892823,4,9.674895,43.722047,2,"1월"
"K103270",61,107.323455,8,14.449028,4,10.144155,39.218699,6,"1월"
"K103280",74,129.925190,5,24.939936,2,5.542208,36.690587,5,"1월"
"K103320",60,93.780905,1,17.519510,1,1.981845,29.381028,4,"1월"
"K103410",77,120.128174,3,43.936823,1,11.055439,36.303113,7,"1월"
"K103630",35,78.211102,9,15.433229,0,0.000000,27.582930,2,"1월"
"K103700",51,114.207662,33,64.848683,2,5.317361,51.816918,7,"1월"
"K103710",57,103.198194,14,47.671893,1,9.599832,44.816344,5,"1월"
"K103790",32,73.001630,2,56.590055,0,0.000000,34.909842,4,"1월"
"K103820",28,63.825960,2,44.852243,3,8.123304,37.287801,0,"1월"
"K103920",60,139.923682,0,0.000000,7,17.505146,55.140026,8,"1월"
"K103950",41,95.412720,0,0.000000,6,14.403651,28.767465,3,"1월"
"K104030",24,55.276286,29,47.283913,4,7.218918,31.513947,0,"1월"
"K104060",40,73.004256,19,65.056212,1,6.181812,29.598347,4,"1월"
"K104300",32,77.433028,15,26.571845,0,0.000000,26.083947,2,"1월"
"K104390",36,88.820294,6,15.379744,3,10.101488,32.026161,2,"1월"
"K104400",62,115.740315,9,62.554612,2,11.196990,47.372303,8,"1월"
"K104440",65,108.149979,0,0.000000,5,16.363707,35.876127,6,"1월"
"K104500",32,79.037444,29,61.106262,0,0.000000,44.852576,4,"1월"
"K104540",49,77.281414,9,27.414814,3,5.514474,33.876598,3,"1월"
"K104660",36,92.088163,19,40.126353,0,0.000000,38.048021,3,"1월"
"K104710",38,96.207243,0,0.000000,3,13.124496,43.753084,3,"1월"
"K104910",66,124.929151,11,30.367726,3,7.384797,48.715461,6,"1월"
"K105210",29,77.582810,3,65.899270,0,0.000000,40.168114,4,"1월"
"K105290",36,95.669002,1,4.115875,0,0.000000,32.236012,0,"1월"
"K105300",17,46.261828,13,32.141438,0,0.000000,25.221531,0,"1월"
"K105380",24,67.195762,17,50.597606,0,0.000000,27.173737,3,"1월"
"K105590",49,96.758086,2,3.731717,1,3.198614,31.077930,2,"1월"
"K105610",57,85.466647,9,36.855159,7,14.368847,43.629138,4,"1월"
"K105870",22,64.936783,4,39.009211,3,13.160207,37.520897,0,"1월"
"K106160",57,97.057277,3,13.618709,6,12.467832,37.199640,3,"1월"
"K106280",39,78.485242,8,38.940422,0,0.000000,32.943241,3,"1월"
"K106330",58,88.855432,13,77.306582,0,0.000000,45.985097,5,"1월"
"K106390",53,84.141049,17,37.375764,0,0.000000,37.634233,3,"1월"
"K106410",35,106.559074,4,9.762400,2,4.136610,26.812767,5,"1월"
"K106480",18,108.923774,1,9.925297,0,0.000000,29.867764,4,"1월"
"K106600",17,101.995889,10,18.869736,10,20.558081,41.719231,5,"1월"
"K106740",28,87.029092,1,23.747981,2,5.308556,36.105421,2,"1월"
"K106790",12,81.961162,36,57.601349,6,12.050057,45.356760,4,"1월"
"K107030",20,81.796050,16,29.867243,3,8.023803,32.095698,3,"1월"
"K107440",16,68.415208,28,53.416175,0,0.000000,27.608290,4,"1월"
"K107580",19,80.281152,10,33.910424,0,0.000000,30.178303,4,"1월"
"K107650",16,131.811542,9,38.514806,0,0.000000,42.583387,6,"1월"
"K107830",25,78.738295,9,24.495203,0,0.000000,32.704989,0,"1월"
"K107980",24,107.426563,14,41.330609,4,9.686002,46.216211,5,"1월"
"K108130",21,96.535902,4,29.636304,0,0.000000,33.915885,3,"1월"
"K108150",20,62.036816,2,40.520674,0,0.000000,26.370646,2,"1월"
"K108240",7,75.590857,7,45.088531,2,9.781337,31.730300,4,"1월"
"K108510",30,91.812557,34,74.119512,0,0.000000,40.924952,5,"1월"
"K108640",7,94.350714,12,22.023039,3,12.280944,37.681221,1,"1월"
"K108930",12,59.249619,18,44.257306,0,0.000000,34.182629,2,"1월"
"K109020",4,68.657879,8,28.751900,0,0.000000,28.054645,2,"1월"
"K109070",4,86.350277,27,77.355456,0,0.000000,50.064620,4,"1월"
"K109340",16,83.286403,16,58.836796,3,7.045693,36.034073,4,"1월"
"K109480",18,54.288243,9,40.080894,7,13.026612,30.396650,3,"1월"
"K109570",5,110.110978,1,15.029219,8,17.301678,35.760400,4,"1월"
"K109690",27,86.884564,7,14.538281,0,0.000000,30.853789,2,"1월"
"K109730",35,101.970960,4,13.569982,1,2.876104,25.541523,5,"1월"
"K109800",2,62.543729,20,44.484684,5,13.715730,37.506177,2,"1월"
"K110210",26,100.704939,15,50.736003,6,24.290455,49.326102,7,"1월"
"K110360",19,108.745027,9,32.479402,1,8.129088,43.909067,4,"1월"
"K110370",19,111.769317,0,0.000000,5,14.550728,29.897725,6,"1월"
"K110430",24,78.324354,5,15.927594,4,19.129533,32.019611,3,"1월"
"K110450",20,118.444788,23,62.931271,5,17.946180,64.295203,8,"1월"
"K110690",0,0.000000,9,43.682354,4,8.223699,47.516248,6,"1월"
"K110960",207,318.437791,5,11.676430,6,15.077332,81.787665,11,"1월"
"K110970",210,335.682627,23,59.510001,5,12.903463,51.637787,16,"1월"
"K111010",113,326.205449,89,136.202203,3,11.721360,126.193820,20,"1월"
"K111050",106,182.170170,5,43.568284,6,10.499463,70.259024,5,"1월"
"K111190",89,142.536618,0,0.000000,0,0.000000,45.124197,0,"1월"
"K111520",65,134.080416,30,86.127638,0,0.000000,44.472817,0,"1월"
"K111550",127,202.882695,59,91.269421,0,0.000000,86.342455,6,"1월"
"K111580",66,113.715251,11,107.252408,0,0.000000,74.375071,5,"1월"
"K111600",136,278.248975,2,105.314743,1,3.711533,38.281553,13,"1월"
"K111610",113,232.753314,1,11.564037,1,5.919170,66.575503,7,"1월"
"K111660",102,210.044376,29,44.498502,1,3.243192,46.202112,6,"1월"
"K111740",129,265.772737,2,9.526119,3,8.507603,53.434901,4,"1월"
"K111890",107,175.502673,49,76.479214,0,0.000000,61.141176,5,"1월"
"K112020",205,315.500994,16,26.406310,1,10.425051,70.215657,11,"1월"
"K112190",121,209.259986,24,38.218787,0,0.000000,35.158682,3,"1월"
"K112230",84,173.575836,12,46.523047,5,10.036698,40.247213,0,"1월"
"K112320",96,166.714569,1,7.663761,12,25.990146,36.930184,0,"1월"
"K112350",80,156.379753,23,85.979653,2,7.465202,69.919505,4,"1월"
"K112370",79,129.491903,2,4.925349,13,22.537203,49.980320,0,"1월"
"K112510",135,204.179674,2,5.867232,1,4.107062,35.554062,4,"1월"
"K112550",96,153.329655,43,99.964455,2,3.907095,62.685288,5,"1월"
"K112560",53,110.538110,4,79.478133,1,4.297849,58.861390,3,"1월"
"K112570",45,129.953596,10,22.756191,4,17.365312,34.200155,0,"1월"
"K112630",145,224.098974,55,87.289488,0,0.000000,28.347610,11,"1월"
"K112650",133,276.235734,10,45.339752,6,13.990738,40.044223,12,"1월"
"K112700",89,251.998765,18,67.999667,1,3.162775,89.614598,12,"1월"
"K112710",104,216.197546,6,41.625461,2,9.450679,66.924408,4,"1월"
"K112780",171,399.349273,1,17.740286,4,7.520339,83.263685,22,"1월"
"K112810",122,195.801134,69,122.738911,2,4.217832,53.796263,10,"1월"
"K112890",66,101.267737,10,38.655964,2,4.925978,27.375569,0,"1월"
"K113160",56,117.092369,8,64.703448,2,8.087931,49.674937,0,"1월"
"K113210",137,287.066448,24,93.341310,0,0.000000,96.245844,14,"1월"
"K113330",76,120.905579,15,78.505006,0,0.000000,44.771802,0,"1월"
"K113450",129,297.978102,19,43.673126,2,4.170177,112.428421,18,"1월"
"K113500",122,212.877331,6,65.680203,3,19.957250,50.687783,8,"1월"
"K113570",142,246.805574,8,36.468571,0,0.000000,54.954209,9,"1월"
"K113580",228,365.148168,3,71.836050,2,12.267387,109.645800,20,"1월"
"K113600",109,228.115664,2,13.893419,10,22.789601,80.673415,4,"1월"
"K113690",107,172.559740,26,61.511509,2,4.605687,48.634896,2,"1월"
"K114020",106,223.631991,23,49.230928,4,6.457822,67.552540,10,"1월"
"K114030",96,154.552796,3,84.216403,2,13.769850,70.961954,2,"1월"
"K114240",118,189.221247,1,15.696215,3,19.740639,56.358359,2,"1월"
"K114350",181,316.188133,3,5.692810,0,0.000000,84.572567,9,"1월"
"K114390",101,162.161546,27,66.845218,1,5.364122,44.500141,2,"1월"
"K114570",66,140.720139,30,45.723481,0,0.000000,49.264494,1,"1월"
"K114640",81,183.926952,19,34.160346,6,9.633855,37.208192,4,"1월"
"K114680",94,183.407120,10,55.962395,0,0.000000,37.727481,1,"1월"
"K114710",77,123.862003,6,18.310406,1,7.426598,43.903134,0,"1월"
"K114780",38,82.135814,30,71.330649,1,5.299085,38.598253,0,"1월"
"K114920",64,113.082667,26,74.365222,2,7.525642,36.577710,0,"1월"
"K114980",69,108.761746,32,58.952364,0,0.000000,41.035418,1,"1월"
"K115070",74,157.244545,10,16.945679,8,19.217726,46.500602,0,"1월"
"K115220",51,90.206352,42,64.835815,1,13.658004,34.229706,0,"1월"
"K115500",161,345.576502,1,23.606217,8,12.682556,43.499917,18,"1월"
"K115580",74,160.000815,17,64.814940,3,6.640875,54.466724,4,"1월"
"K115720",105,204.385276,32,101.912811,1,4.290673,95.249395,7,"1월"
"K115770",71,125.730657,3,82.768441,0,0.000000,40.149772,0,"1월"
"K115850",57,101.192722,8,42.305549,3,7.618584,38.317746,0,"1월"
"K115860",42,91.364662,13,26.985005,7,18.096769,44.322377,0,"1월"
"K115890",95,154.289101,9,86.313131,13,23.593034,43.026812,2,"1월"
"K115900",136,210.999240,4,16.279140,0,0.000000,48.815413,4,"1월"
"K115940",71,125.984191,5,34.149381,1,7.042798,46.714304,0,"1월"
"K115990",48,133.050086,26,73.463914,7,17.897880,59.925923,0,"1월"
"K116090",86,186.312418,35,54.556218,2,11.615195,47.763560,1,"1월"
"K116170",238,368.929171,20,72.422467,3,5.945510,118.061912,22,"1월"
"K116290",91,140.574886,2,5.229072,4,7.059247,50.164668,0,"1월"
"K116320",110,195.154407,2,21.374054,3,9.293067,51.637652,0,"1월"
"K116530",50,96.851193,8,78.308651,1,10.211835,53.019909,0,"1월"
"K116610",46,101.492352,15,80.788617,3,6.519474,36.271920,0,"1월"
"K116750",54,116.955878,27,63.945389,0,0.000000,57.718691,2,"1월"
"K116790",82,138.015042,14,80.290297,0,0.000000,37.121729,3,"1월"
"K116930",89,158.130549,34,67.674868,1,12.586469,43.225272,5,"1월"
"K117330",76,166.694220,23,35.759879,5,9.763519,29.500691,4,"1월"
"K117350",102,223.233106,10,61.183445,1,6.543684,80.814523,9,"1월"
"K117410",181,285.529568,46,96.357792,2,5.625090,106.574380,14,"1월"
"K117580",65,116.216796,7,66.724302,2,7.016740,62.621425,0,"1월"
"K117660",88,194.060851,37,100.511098,11,20.884032,92.714137,8,"1월"
"K117790",247,440.329230,0,0.000000,7,18.175752,61.631361,24,"1월"
"K117820",81,125.957777,23,37.459722,0,0.000000,43.896927,0,"1월"
"K118150",120,215.165160,0,0.000000,4,6.916023,35.238222,3,"1월"
"K118160",71,157.665371,5,10.554793,1,5.353148,45.063641,0,"1월"
"K118180",152,271.064707,1,7.504560,0,0.000000,39.096262,8,"1월"
"K118220",67,149.294655,10,37.463603,0,0.000000,47.391998,2,"1월"
"K118370",92,205.353984,2,5.301504,0,0.000000,58.725331,2,"1월"
"K118380",154,275.895245,26,64.201070,7,12.624671,95.109044,13,"1월"
"K118420",59,132.871662,12,45.829608,0,0.000000,56.550124,0,"1월"
"K118470",65,115.841189,20,54.483170,1,2.921810,44.687329,0,"1월"
"K118510",158,238.075810,50,89.235691,0,0.000000,42.796977,8,"1월"
"K118860",62,138.821550,6,33.865125,3,4.413500,44.930542,0,"1월"
"K118920",51,114.327396,33,61.949916,1,6.140808,47.235031,0,"1월"
"K118970",91,205.150176,26,72.245712,0,0.000000,49.125743,10,"1월"
"K119010",117,209.836563,4,78.506982,2,12.034507,80.320985,9,"1월"
"K119090",53,119.257992,2,37.781734,3,13.228618,40.596203,0,"1월"
"K119120",96,217.351320,7,15.332080,2,7.440856,43.664915,0,"1월"
"K119200",71,127.998229,14,49.714058,1,5.053919,44.151869,0,"1월"
"K119530",200,306.351278,3,11.934985,4,12.594708,50.541318,8,"1월"
"K119640",89,161.361486,46,76.675728,5,10.351127,71.376607,1,"1월"
"K119690",101,231.008391,3,61.998949,2,5.594655,89.041754,8,"1월"
"K119770",50,90.023180,29,67.791290,0,0.000000,33.994224,0,"1월"
"K119810",128,345.833539,19,51.526570,3,10.510963,49.900506,16,"1월"
"K120040",30,70.826347,36,63.627194,1,7.157539,41.198373,0,"1월"
"K120110",105,243.226926,8,15.690178,0,0.000000,47.939787,2,"1월"
"K120230",48,110.103000,10,57.135592,2,5.426505,41.125668,1,"1월"
"K120560",58,135.566721,36,72.474250,0,0.000000,58.390333,1,"1월"
"K120700",85,139.558005,10,49.620624,0,0.000000,56.532870,0,"1월"
"K120800",159,370.607530,21,102.077507,0,0.000000,88.305911,24,"1월"
"K120870",91,244.209160,11,120.218448,0,0.000000,68.674815,15,"1월"
"K120970",137,262.345778,4,13.994078,5,8.292787,92.447400,10,"1월"
"K121020",107,250.632038,4,12.665510,2,6.025882,78.277151,4,"1월"
"K121190",88,160.341636,30,46.164295,4,9.617561,50.240694,3,"1월"
"K121210",99,161.865389,63,115.289992,0,0.000000,37.813942,6,"1월"
"K121260",93,219.312643,21,66.041731,5,13.054324,49.139763,6,"1월"
"K121350",93,145.168241,1,9.374778,0,0.000000,35.514458,0,"1월"
"K121390",70,164.722253,0,0.000000,3,6.610268,36.123213,0,"1월"
"K121540",82,193.747882,23,50.388643,7,22.507603,53.125305,5,"1월"
"K121850",188,309.269008,10,15.575431,1,4.156842,80.582544,12,"1월"
"K121860",142,237.635796,39,66.378975,4,7.297477,32.443871,10,"1월"
"K121950",88,210.361980,12,20.010042,1,4.959754,41.201221,2,"1월"
"K122240",110,202.691088,1,5.241211,0,0.000000,39.152379,2,"1월"
"K122390",163,268.911124,43,71.319436,5,9.754938,92.090929,11,"1월"
"K122460",132,217.375844,8,44.609405,2,15.902698,37.653090,3,"1월"
"K122500",94,174.276684,54,89.952282,1,3.751920,70.089511,6,"1월"
"K122630",66,159.590838,4,16.018728,3,5.964420,44.989990,1,"1월"
"K122730",61,112.755750,0,0.000000,1,2.951325,42.076385,0,"1월"
"K122910",87,211.195109,18,66.857623,0,0.000000,36.104980,6,"1월"
"K122950",70,169.353264,3,7.975357,1,1.575379,39.431311,0,"1월"
"K122960",221,446.894166,23,72.212244,0,0.000000,51.474904,27,"1월"
"K123290",105,167.669292,2,98.716185,1,3.083028,42.040408,2,"1월"
"K123300",99,183.643173,3,17.261355,2,5.955995,49.145394,0,"1월"
"K123360",96,235.411664,6,10.460344,6,10.244667,60.125653,3,"1월"
"K123430",128,238.463536,4,39.251738,3,6.972618,32.324176,11,"1월"
"K123440",76,187.608431,46,91.254543,3,19.369602,72.826653,4,"1월"
"K123590",90,154.642745,28,58.973242,5,11.827051,28.757662,5,"1월"
"K123690",115,175.971890,21,54.611966,2,5.104822,36.233483,3,"1월"
"K123720",37,91.851005,22,77.556312,3,4.688862,42.253775,1,"1월"
"K123750",188,294.552636,46,80.880390,1,2.748876,61.974991,14,"1월"
"K123880",55,135.582000,15,50.670900,3,7.468500,55.784342,0,"1월"
"K124040",104,194.569362,47,77.770180,5,11.512980,87.782848,4,"1월"
"K124290",54,101.869765,43,95.038848,2,5.939928,45.144216,0,"1월"
"K124320",86,143.436445,5,19.589482,2,4.709010,41.922779,0,"1월"
"K124360",81,127.003080,26,64.342620,0,0.000000,45.360894,0,"1월"
"K124500",109,172.868870,67,103.965948,6,13.658272,89.355688,6,"1월"
"K124650",113,170.646191,16,45.148756,0,0.000000,52.825429,2,"1월"
"K124690",151,282.336197,32,67.857406,0,0.000000,78.967619,13,"1월"
"K124770",131,223.158839,12,51.906762,5,8.047560,73.477054,10,"1월"
"K124800",80,200.622329,1,24.463283,2,10.144264,65.556010,0,"1월"
"K124940",134,264.773184,32,102.756147,1,7.491471,60.479425,12,"1월"
"K125020",108,213.578712,13,56.323500,0,0.000000,53.315126,8,"1월"
"K125040",87,219.619382,2,46.103674,2,5.111914,34.640625,7,"1월"
"K125130",122,307.394638,5,31.253382,0,0.000000,81.299338,10,"1월"
"K125250",73,143.245108,10,125.860993,1,9.188746,41.211701,6,"1월"
"K125300",83,156.958434,33,52.357667,4,9.260929,39.539982,0,"1월"
"K125310",92,173.971045,36,55.343569,7,11.343342,71.598654,0,"1월"
"K125420",57,163.206240,66,104.014123,0,0.000000,55.357507,8,"1월"
"K125460",135,340.904894,1,18.734668,3,10.759457,118.366304,17,"1월"
"K125480",70,138.290355,45,69.643930,8,12.514144,61.744869,3,"1월"
"K125570",121,201.587510,41,95.106948,11,17.452615,80.699280,9,"1월"
"K125580",177,277.651959,6,33.286980,2,14.377475,51.470622,10,"1월"
"K125780",68,172.576939,68,105.638334,1,7.407511,82.536046,5,"1월"
"K126040",48,136.338893,17,78.990912,3,9.490483,61.309403,0,"1월"
"K126090",85,219.413691,18,32.771466,1,7.433370,64.830154,6,"1월"
"K126170",72,184.487230,5,13.613664,0,0.000000,46.065265,3,"1월"
"K126300",95,158.214287,1,5.048349,0,0.000000,51.654269,0,"1월"
"K126590",95,243.886658,18,61.186732,10,18.173212,38.075973,9,"1월"
"K126650",33,90.339023,17,58.287019,3,9.057326,39.408956,0,"1월"
"K126660",241,379.815466,1,18.500401,1,10.253234,104.814864,17,"1월"
"K126690",118,302.335664,4,34.914726,3,13.965890,110.379902,16,"1월"
"K126750",110,208.573070,3,10.026547,0,0.000000,33.687682,1,"1월"
"K126810",69,131.730732,16,106.619922,0,0.000000,62.056072,0,"1월"
"K126990",76,127.489270,8,49.155044,1,9.500198,57.498357,1,"1월"
"K127040",92,237.810946,22,37.366094,6,15.769177,86.606998,8,"1월"
"K127060",118,223.232905,1,19.492395,3,8.036864,62.780233,1,"1월"
"K127160",79,131.162696,2,41.914358,4,9.123683,57.904103,2,"1월"
"K127200",146,275.701574,96,169.399306,8,15.658272,51.243443,18,"1월"
"K127220",122,234.586800,0,0.000000,1,2.696400,64.975378,2,"1월"
"K127430",101,268.101492,43,83.415988,1,3.582648,65.992574,10,"1월"
"K127450",115,217.562295,5,12.900450,1,15.177000,63.088990,8,"1월"
"K127600",76,197.192773,32,68.052345,0,0.000000,86.651421,4,"1월"
"K127640",117,194.114382,19,100.325957,0,0.000000,54.333626,8,"1월"
"K127650",42,111.250986,29,74.241909,0,0.000000,51.692236,0,"1월"
"K127670",88,228.892651,26,41.972867,0,0.000000,45.013291,8,"1월"
"K127680",114,215.935358,18,28.206280,0,0.000000,79.405031,2,"1월"
"K127730",40,104.099099,16,54.606659,1,6.928942,36.510251,0,"1월"
"K127750",80,126.052821,15,67.662836,6,20.960507,32.207514,1,"1월"
"K127800",86,223.338967,9,86.664395,0,0.000000,50.005057,13,"1월"
"K127930",68,178.694303,39,67.320206,11,20.468347,51.012974,3,"1월"
"K127970",226,344.023705,3,8.715867,11,18.218974,71.446949,14,"1월"
"K128080",141,236.129491,12,31.037059,1,7.604361,65.057643,4,"1월"
"K128100",74,193.776660,0,0.000000,5,17.012081,34.056578,7,"1월"
"K128150",109,288.169246,4,14.112157,2,3.615926,42.138158,10,"1월"
"K128160",110,289.207800,19,130.615686,0,0.000000,87.477122,15,"1월"
"K128240",57,109.492043,27,60.808952,1,16.886386,29.516331,0,"1월"
"K128400",83,158.895527,4,16.787810,1,6.831403,43.550412,0,"1월"
"K128490",167,250.328551,12,25.867650,1,3.185401,80.904621,5,"1월"
"K128550",188,312.346598,2,36.049205,3,13.872756,77.318251,11,"1월"
"K128780",64,120.504413,19,42.439444,12,18.778515,38.802965,0,"1월"
"K128810",128,344.850752,43,70.301939,6,11.196453,54.028990,17,"1월"
"K128920",180,299.411038,28,43.892114,1,4.800100,105.958309,10,"1월"
"K128940",67,181.539853,0,0.000000,4,6.580710,32.140779,1,"1월"
"K129030",68,186.617574,36,82.651140,1,1.392019,75.239527,8,"1월"
"K129130",115,182.199425,5,71.142866,8,14.327992,37.780745,7,"1월"
"K129190",70,136.277765,50,111.681497,3,5.437517,50.061963,6,"1월"
"K129490",77,216.166724,45,98.202401,0,0.000000,49.974205,8,"1월"
"K129550",56,157.237920,16,28.488600,1,2.473800,52.318006,0,"1월"
"K129620",62,174.498300,10,18.517950,2,3.870000,45.897323,0,"1월"
"K129650",81,228.744605,16,50.670592,5,8.184835,36.799410,6,"1월"
"K129710",80,225.936680,1,4.744777,10,15.887006,37.856440,3,"1월"
"K129760",76,149.180640,37,77.575770,2,3.597850,68.760637,3,"1월"
"K129830",95,268.019607,57,112.009657,2,8.329677,55.292703,16,"1월"
"K129850",39,109.967339,21,53.670500,5,11.437281,53.061755,0,"1월"
"K129880",88,172.753206,3,8.960765,1,9.477732,38.144399,1,"1월"
"K130030",58,165.594728,45,74.868698,0,0.000000,52.755493,7,"1월"
"K130080",94,147.123190,11,35.791583,0,0.000000,55.784852,0,"1월"
"K130160",107,211.065410,6,14.495279,1,2.847988,47.851433,0,"1월"
"K130290",73,121.839260,62,93.722508,0,0.000000,32.878413,2,"1월"
"K130300",127,249.357899,46,106.335635,6,11.561846,113.500432,12,"1월"
"K130330",105,206.801650,27,42.560318,5,9.084020,66.760179,3,"1월"
"K130390",90,177.944832,5,78.385554,2,6.095466,40.550308,4,"1월"
"K130480",64,156.791266,38,66.600122,2,18.249658,69.370319,1,"1월"
"K130580",39,95.735554,7,51.205424,2,3.464393,40.278970,0,"1월"
"K130700",114,178.884353,14,25.083877,6,23.456138,26.190712,5,"1월"
"K130800",84,142.480790,8,112.416477,2,13.565018,62.642319,5,"1월"
"K130910",130,259.382259,0,0.000000,4,7.026156,67.768829,5,"1월"
"K130930",186,317.373941,52,119.225131,9,20.490570,135.003889,18,"1월"
"K131140",152,303.983388,14,45.747880,12,24.387303,116.819073,12,"1월"
"K131380",90,143.773454,19,54.452988,5,11.051614,42.099015,2,"1월"
"K131480",64,129.220184,1,68.272892,6,11.073582,29.604618,3,"1월"
"K131680",115,232.826832,19,79.628360,3,5.385110,65.130829,13,"1월"
"K132410",42,164.602610,36,62.329396,0,0.000000,50.571066,3,"1월"
"K132600",27,97.163384,23,40.013014,0,0.000000,30.049031,0,"1월"
"K132690",31,141.425347,7,63.888011,7,23.398841,47.023611,0,"1월"
"K132700",79,467.296484,28,89.257656,2,4.898286,178.837898,31,"1월"
"K132730",53,167.892847,20,151.091604,4,7.892399,94.286992,6,"1월"
"K132920",23,140.978419,34,112.342178,2,3.091632,35.850838,1,"1월"
"K132990",20,208.449410,10,18.723272,0,0.000000,52.360827,4,"1월"
"K133070",22,225.148884,25,39.849360,1,3.088325,43.180222,6,"1월"
"K133190",123,357.819662,25,61.311537,2,5.255275,36.902319,22,"1월"
"K133300",36,110.403292,21,62.967505,2,3.469284,57.839396,1,"1월"
"K133390",43,143.907974,26,43.705061,2,15.892750,54.431385,2,"1월"
"K133430",39,129.827077,2,9.262648,0,0.000000,30.420396,0,"1월"
"K133520",65,345.151142,7,23.128685,3,25.019010,61.208639,16,"1월"
"K133540",53,167.386486,6,11.295728,0,0.000000,51.805754,0,"1월"
"K133670",98,310.174656,1,17.298864,2,3.356496,41.384308,15,"1월"
"K133740",61,272.731738,14,40.223774,0,0.000000,35.658830,10,"1월"
"K133860",21,127.961986,36,57.801313,3,5.860041,34.455903,0,"1월"
"K134010",32,127.660978,22,57.721139,1,4.105483,36.121029,0,"1월"
"K134060",21,128.820441,4,9.718585,0,0.000000,39.390496,0,"1월"
"K134150",32,200.488201,32,91.399033,0,0.000000,48.798862,5,"1월"
"K134160",34,115.761802,22,93.487410,3,8.129340,69.335512,0,"1월"
"K134240",38,117.449963,51,88.650723,3,6.269222,64.134066,1,"1월"
"K134310",73,243.569873,9,14.833352,2,8.107117,60.903880,8,"1월"
"K134370",63,181.494213,14,29.241285,1,7.929840,53.632109,1,"1월"
"K134380",51,321.306720,2,5.409756,4,7.786770,93.763635,16,"1월"
"K134670",57,359.059293,5,15.448513,2,21.933725,89.095499,17,"1월"
"K134720",53,282.944328,8,45.882864,3,7.917043,52.149367,14,"1월"
"K134770",17,106.686114,2,24.829466,1,5.986703,23.408665,0,"1월"
"K134870",42,268.528095,28,82.837620,7,29.039445,38.965931,12,"1월"
"K135090",29,155.692813,4,7.457346,3,7.871643,28.414087,0,"1월"
"K135240",90,277.732190,4,6.398884,1,7.121338,51.029778,8,"1월"
"K135350",11,100.107025,16,27.054823,2,12.962898,30.372093,0,"1월"
"K135390",55,192.449741,7,69.208610,0,0.000000,43.258085,6,"1월"
"K135520",16,105.482323,40,68.955505,4,13.185290,47.380717,0,"1월"
"K135630",38,152.261824,43,75.607839,0,0.000000,61.157294,3,"1월"
"K135650",47,143.945165,48,91.686384,0,0.000000,51.943209,3,"1월"
"K135790",17,72.956808,7,59.204030,6,10.901592,30.177282,0,"1월"
