고객의 일련번호,결혼상태,신용카드 사용여부,주택소유여부,월평균집세(1000엔),월평균수입(1000엔),연령,현재의 주택에 거주한 년수,피교육년수,은행의 고객이 된 년수,현 직장에서 근무한 년수,은행에서 판별한 신용도 정도
182792037,,"사용","소유",0,359,35,8,16,11,9,"양호"
183364737,,"사용","소유",0,515,42,5,16,16,13,"양호"
188984983,,"사용","미소유",119,287,40,2,12,2,11,"모호"
189143435,,"미사용","미소유",118,407,21,0,16,1,0,"불량"
192709499,,"사용","미소유",159,383,24,3,16,4,3,"양호"
195617439,,"사용","미소유",262,371,36,36,16,9,4,"모호"
195792621,,"사용","미소유",0,317,45,3,16,5,7,"모호"
197137397,,"사용","미소유",102,451,22,3,16,5,3,"양호"
198935762,,"사용","소유",202,485,35,7,16,10,10,"양호"
202126695,,"사용","소유",431,400,27,5,16,3,6,"양호"
202355800,,"사용","미소유",0,411,20,3,16,0,2,"모호"
208315218,,"사용","미소유",114,274,24,3,12,5,0,"모호"
211174483,,"사용","미소유",543,222,18,3,12,11,2,"모호"
213761294,,"사용","미소유",925,442,27,2,16,3,7,"양호"
216000464,,"사용","소유",155,372,18,3,16,1,0,"양호"
218283114,,"사용","미소유",219,527,24,8,16,2,3,"양호"
220487992,,"사용","미소유",213,513,34,4,16,10,10,"양호"
221333365,,"사용","미소유",188,452,25,2,16,3,4,"양호"
223068876,,"사용","미소유",207,498,38,6,16,6,13,"양호"
223213732,,"사용","미소유",143,344,37,6,16,15,3,"양호"
226243697,,"사용","미소유",0,643,50,2,19,5,6,"양호"
233368753,,"사용","미소유",153,368,39,2,16,7,9,"양호"
241045698,,"사용","소유",230,553,25,7,16,2,7,"양호"
241764752,,"사용","미소유",0,402,35,35,16,12,8,"양호"
242449730,,"사용","소유",111,268,26,26,12,4,0,"모호"
246282689,,"사용","미소유",179,430,41,4,16,3,11,"양호"
246404478,,"사용","미소유",1747,235,19,2,16,5,1,"양호"
250724955,,"사용","미소유",328,789,45,2,19,1,7,"양호"
251279750,,"사용","소유",776,518,43,2,16,3,6,"양호"
251427034,,"사용","미소유",598,234,28,2,12,5,3,"모호"
255182081,,"사용","미소유",153,368,25,7,16,4,5,"양호"
256185462,,"사용","미소유",179,430,38,4,12,4,5,"모호"
257851796,,"사용","미소유",649,385,33,3,16,4,4,"양호"
261238953,,"사용","미소유",141,340,20,3,16,4,0,"양호"
265173472,,"사용","미소유",187,451,36,4,16,11,4,"모호"
266407660,,"사용","소유",0,264,24,24,12,7,6,"모호"
267685507,,"사용","미소유",0,274,32,1,12,11,13,"모호"
270035776,,"사용","미소유",118,284,18,2,12,1,0,"모호"
270757599,,"사용","미소유",268,644,45,4,16,9,12,"양호"
272331878,,"사용","소유",262,679,37,8,19,22,7,"양호"
277757270,,"사용","소유",1085,498,43,7,16,13,9,"양호"
279629673,,"사용","미소유",189,454,34,1,16,7,7,"양호"
282760957,,"사용","소유",0,318,33,33,16,2,4,"모호"
283614151,,"미사용","미소유",0,375,19,0,16,14,0,"불량"
284929467,,"사용","미소유",1335,541,26,1,16,2,6,"양호"
285667573,,"사용","미소유",165,396,32,3,16,3,6,"모호"
285689633,,"사용","미소유",0,393,20,5,16,2,0,"양호"
288039645,,"사용","미소유",1227,365,22,5,16,15,1,"양호"
290815613,,"사용","미소유",509,211,34,1,16,13,7,"불량"
291190040,,"사용","미소유",275,660,36,7,19,12,11,"양호"
294959149,,"미사용","미소유",175,422,27,0,16,9,9,"불량"
297867917,,"사용","소유",102,245,20,3,12,8,2,"모호"
298246182,,"사용","미소유",112,271,30,2,16,18,10,"모호"
299008058,,"사용","미소유",995,923,55,3,22,1,7,"양호"
299097749,,"사용","소유",197,479,41,4,16,6,11,"양호"
301749852,,"사용","소유",236,568,20,9,16,7,0,"양호"
305660800,,"사용","미소유",0,550,23,7,16,6,4,"양호"
305761231,,"사용","미소유",851,222,20,1,12,4,0,"불량"
306166026,,"사용","소유",260,626,26,5,19,7,0,"양호"
310409124,,"사용","미소유",329,375,37,37,19,10,11,"양호"
313298025,,"사용","소유",122,294,20,20,12,3,2,"모호"
313362974,,"사용","미소유",186,447,20,5,16,5,0,"양호"
316698919,,"사용","미소유",81,195,22,1,12,3,0,"불량"
317166935,,"사용","미소유",0,425,25,3,16,10,6,"모호"
319334340,,"사용","미소유",254,610,41,1,17,3,7,"양호"
319630396,,"사용","미소유",126,304,24,5,16,13,1,"양호"
324331333,,"사용","미소유",644,279,23,23,12,9,0,"모호"
324820546,,"사용","미소유",0,380,19,6,16,5,1,"모호"
325940843,,"사용","미소유",290,697,45,2,19,6,5,"양호"
330144886,,"미사용","소유",176,423,33,0,16,7,8,"불량"
330515320,,"미사용","소유",0,396,27,0,16,5,3,"불량"
331187335,,"사용","소유",280,672,51,31,19,5,10,"양호"
334410371,,"사용","소유",167,403,27,4,16,4,3,"양호"
335002662,,"사용","미소유",247,593,44,5,19,4,8,"양호"
338367390,,"사용","소유",371,568,35,7,19,10,7,"양호"
338405466,,"미사용","미소유",171,412,30,0,16,0,3,"불량"
340234063,,"사용","미소유",337,810,32,1,19,9,6,"양호"
343236690,,"사용","미소유",0,377,29,7,16,1,4,"모호"
344707720,,"사용","미소유",684,180,23,3,12,12,1,"불량"
345851451,,"사용","소유",184,443,28,4,16,3,9,"양호"
348643892,,"사용","미소유",89,215,19,3,12,12,0,"불량"
350386762,,"미사용","미소유",0,166,19,1,12,7,0,"불량"
352938627,,"사용","미소유",0,380,33,5,16,9,8,"모호"
355024936,,"사용","미소유",1487,462,30,3,16,12,3,"양호"
359455541,,"사용","소유",194,467,32,32,16,7,5,"양호"
359822841,,"사용","소유",203,488,27,27,19,8,4,"양호"
364779841,,"사용","미소유",701,483,22,3,16,10,2,"양호"
365125324,,"사용","미소유",234,562,59,5,19,3,14,"모호"
367453848,,"사용","소유",285,684,53,5,19,2,10,"양호"
371176401,,"사용","미소유",0,456,44,3,19,5,6,"양호"
372181747,,"사용","미소유",160,384,53,3,16,13,9,"양호"
375745053,,"사용","미소유",178,429,33,3,16,10,6,"양호"
375910955,,"사용","미소유",75,180,18,2,12,12,2,"불량"
384166358,,"미사용","소유",366,476,34,0,16,4,7,"불량"
385604847,,"사용","미소유",155,372,35,35,16,2,3,"양호"
386921832,,"사용","미소유",614,455,35,1,17,2,8,"양호"
387487195,,"사용","미소유",174,418,50,30,16,7,11,"양호"
394742555,,"미사용","미소유",0,643,43,7,16,1,13,"모호"
395085766,,"사용","미소유",1564,425,23,1,17,4,4,"양호"
396155466,,"미사용","미소유",70,169,19,2,12,6,1,"불량"
396884156,,"사용","미소유",494,264,19,2,12,6,0,"모호"
397107437,,"사용","미소유",278,668,50,2,19,6,9,"양호"
402088901,,"사용","미소유",171,412,31,2,16,1,7,"양호"
404413753,,"사용","미소유",171,378,31,31,16,4,7,"양호"
405096940,,"사용","소유",380,423,27,27,16,6,4,"모호"
405596106,,"사용","미소유",646,448,40,1,17,1,5,"양호"
405952638,,"사용","미소유",217,523,18,4,16,6,2,"양호"
410235898,,"사용","미소유",271,302,28,1,12,2,3,"모호"
410593006,,"미사용","미소유",365,877,59,6,20,7,6,"양호"
410701030,,"사용","미소유",595,254,28,3,12,2,7,"모호"
410828909,,"사용","미소유",0,643,55,35,19,15,6,"양호"
413020648,,"사용","미소유",257,401,30,1,16,9,2,"양호"
413172251,,"사용","소유",285,481,32,3,16,4,6,"양호"
415205442,,"사용","미소유",189,454,29,2,16,12,3,"양호"
419418563,,"사용","소유",112,269,28,28,16,5,5,"양호"
423018482,,"사용","미소유",86,208,23,3,12,7,3,"모호"
426130705,,"사용","미소유",240,576,24,24,19,2,2,"양호"
426285696,,"사용","소유",142,343,29,29,16,6,4,"모호"
428475673,,"사용","미소유",282,679,28,7,19,11,4,"양호"
429013020,,"사용","소유",0,442,24,5,16,5,2,"양호"
429214838,,"사용","소유",152,367,33,33,16,2,4,"양호"
430618074,,"사용","미소유",163,392,30,1,16,6,7,"양호"
434675566,,"사용","소유",0,392,30,30,16,4,9,"양호"
435384902,,"사용","소유",145,349,27,3,16,2,4,"양호"
440689602,,"사용","미소유",0,355,24,4,16,8,4,"양호"
442321303,,"사용","미소유",1121,405,33,3,16,7,4,"양호"
444272490,,"사용","미소유",175,420,25,1,16,9,0,"양호"
446052754,,"사용","미소유",167,401,36,3,16,3,4,"모호"
446992081,,"사용","소유",160,586,44,4,19,3,9,"모호"
452047725,,"사용","소유",0,490,36,2,16,11,8,"양호"
454332296,,"사용","미소유",703,421,21,4,17,1,0,"양호"
456481318,,"사용","미소유",91,220,24,1,12,7,1,"불량"
457500223,,"사용","미소유",151,194,29,1,12,9,6,"불량"
463456125,,"사용","미소유",122,295,29,1,16,4,3,"모호"
464261506,,"사용","미소유",63,152,22,3,12,5,0,"불량"
465329870,,"사용","미소유",1440,587,42,1,19,4,17,"양호"
465507121,,"사용","미소유",0,633,36,3,19,8,3,"양호"
466419329,,"미사용","미소유",0,403,23,0,16,10,4,"불량"
467969098,,"사용","미소유",107,258,26,3,12,1,6,"모호"
470613852,,"사용","미소유",168,405,31,4,16,10,1,"모호"
471780965,,"사용","소유",271,651,44,44,17,3,6,"양호"
471788595,,"사용","미소유",176,424,28,2,16,24,2,"모호"
476304043,,"사용","미소유",681,277,27,2,12,3,6,"모호"
478282496,,"사용","미소유",68,164,28,25,12,6,4,"불량"
479124786,,"사용","미소유",610,397,36,3,16,6,14,"양호"
481007785,,"사용","미소유",308,329,23,8,16,0,3,"모호"
483731575,,"사용","미소유",467,674,45,1,19,4,7,"양호"
484658219,,"사용","미소유",65,158,28,1,12,12,5,"불량"
486781382,,"사용","미소유",188,453,34,2,16,7,11,"양호"
487533928,,"사용","소유",0,459,30,7,16,26,10,"양호"
493406625,,"사용","미소유",450,337,24,2,12,14,0,"모호"
494567256,,"사용","미소유",287,691,51,31,19,7,8,"양호"
499787570,,"사용","소유",418,528,21,3,19,8,2,"양호"
500478569,,"사용","미소유",202,485,39,4,17,6,4,"양호"
503505356,,"사용","미소유",170,409,23,23,16,6,3,"양호"
504164900,,"사용","미소유",279,670,44,2,19,2,7,"양호"
509359358,,"사용","미소유",268,644,42,1,19,6,5,"양호"
510766028,,"사용","미소유",485,481,39,1,16,11,4,"모호"
514246190,,"미사용","소유",356,491,50,0,16,8,9,"불량"
516298855,,"사용","미소유",130,312,24,24,16,1,4,"모호"
517772480,,"사용","소유",524,199,25,22,12,0,4,"불량"
523135932,,"사용","소유",227,546,33,6,16,9,4,"양호"
524426384,,"사용","미소유",154,370,26,2,16,1,6,"양호"
524897324,,"사용","소유",179,473,32,4,16,4,5,"양호"
525131833,,"사용","미소유",0,360,26,3,16,10,7,"양호"
529561006,,"사용","미소유",155,374,36,2,16,6,7,"양호"
531242232,,"사용","미소유",142,341,23,3,16,3,2,"모호"
533763063,,"사용","미소유",0,650,38,38,19,5,6,"양호"
537928606,,"사용","소유",0,498,28,28,16,10,4,"양호"
539971559,,"미사용","미소유",80,194,24,1,12,14,2,"불량"
546352357,,"사용","미소유",242,582,45,7,19,2,6,"양호"
549325335,,"사용","미소유",0,651,49,4,16,12,10,"모호"
550125470,,"사용","미소유",203,489,40,4,19,10,7,"양호"
555003305,,"사용","미소유",170,409,32,5,16,7,3,"모호"
556873576,,"사용","미소유",168,405,34,4,16,14,9,"양호"
564365880,,"사용","미소유",115,277,21,2,16,6,3,"양호"
566106734,,"사용","미소유",130,313,32,32,16,2,6,"모호"
566283187,,"사용","미소유",0,358,23,2,16,11,3,"양호"
570720917,,"사용","미소유",461,296,28,3,16,5,6,"모호"
581211927,,"사용","미소유",263,633,38,2,19,3,4,"양호"
582108181,,"사용","미소유",112,269,24,2,12,3,0,"모호"
588722622,,"사용","미소유",205,492,34,1,16,16,4,"모호"
590065818,,"사용","미소유",1346,471,40,1,16,13,16,"양호"
598959522,,"사용","미소유",217,521,47,2,19,6,8,"양호"
600609467,,"미사용","미소유",95,230,30,3,12,10,5,"불량"
603818413,,"미사용","미소유",347,834,44,2,20,8,10,"양호"
604994921,,"사용","미소유",339,814,55,1,19,4,9,"양호"
605436773,,"사용","미소유",127,306,29,2,16,4,9,"모호"
605512768,,"사용","소유",197,474,34,34,16,15,10,"양호"
607043367,,"사용","미소유",0,554,29,2,16,4,4,"양호"
611567618,,"사용","소유",177,426,30,5,16,2,8,"양호"
621001714,,"사용","소유",166,399,19,5,16,12,0,"모호"
625302204,,"사용","미소유",172,413,28,3,16,3,6,"양호"
635404119,,"사용","미소유",127,307,18,3,12,5,2,"모호"
637709778,,"미사용","소유",0,475,24,0,16,1,1,"불량"
638290834,,"미사용","소유",0,472,36,0,16,10,4,"불량"
648552602,,"사용","미소유",1118,454,41,1,16,7,5,"양호"
650481404,,"사용","미소유",1084,469,49,1,16,6,4,"양호"
652357922,,"사용","미소유",246,591,34,1,19,4,6,"양호"
655198614,,"사용","미소유",190,456,35,2,16,3,3,"양호"
655761062,,"사용","미소유",1409,378,21,2,16,5,1,"양호"
655783515,,"사용","소유",0,211,28,25,12,3,2,"불량"
656979953,,"사용","미소유",79,191,27,2,12,6,3,"불량"
662291293,,"미사용","미소유",0,660,34,0,16,7,9,"불량"
663718884,,"사용","소유",165,397,36,7,16,7,4,"양호"
665823915,,"사용","미소유",367,161,18,1,12,11,2,"불량"
668213305,,"사용","미소유",275,660,55,3,19,4,7,"모호"
669473634,,"사용","미소유",380,912,65,1,20,1,11,"양호"
671681494,,"사용","미소유",184,443,29,4,16,12,3,"양호"
672105798,,"사용","미소유",180,433,20,3,16,0,0,"양호"
672572174,,"사용","소유",0,413,25,25,16,3,1,"모호"
675318777,,"사용","미소유",141,339,21,2,16,4,3,"모호"
679217614,,"사용","소유",228,549,35,35,17,6,10,"양호"
682709326,,"사용","소유",295,321,26,26,16,7,4,"양호"
683818683,,"사용","미소유",165,396,44,2,19,0,13,"양호"
684732413,,"사용","미소유",0,599,46,3,19,1,16,"양호"
687628493,,"미사용","미소유",224,538,20,0,16,24,0,"불량"
688828026,,"사용","미소유",587,378,29,2,16,4,4,"양호"
691384895,,"사용","소유",0,138,22,19,12,7,3,"불량"
692421348,,"사용","미소유",72,174,24,2,12,6,2,"불량"
696647674,,"미사용","미소유",193,465,25,0,16,4,5,"불량"
698952259,,"사용","소유",166,399,22,6,16,12,0,"양호"
699484694,,"사용","미소유",460,601,54,34,19,11,10,"양호"
701015488,,"사용","미소유",70,147,23,1,12,7,4,"불량"
702219195,,"사용","소유",277,665,42,3,16,5,5,"모호"
707397065,,"사용","소유",270,650,38,38,19,7,6,"모호"
708429661,,"사용","소유",369,887,58,5,20,7,9,"양호"
708954768,,"사용","미소유",166,400,31,31,16,8,6,"모호"
711811378,,"사용","미소유",247,593,27,2,19,5,5,"양호"
713648375,,"사용","소유",0,409,42,3,16,8,4,"불량"
713747989,,"사용","미소유",1044,435,27,3,16,2,0,"양호"
716903144,,"미사용","미소유",81,195,18,1,12,7,2,"불량"
718063599,,"사용","미소유",98,237,22,2,12,1,2,"모호"
720890418,,"사용","미소유",112,269,21,3,12,12,0,"불량"
721906722,,"사용","미소유",189,454,50,5,19,6,10,"양호"
724520206,,"사용","소유",348,338,21,6,16,4,0,"양호"
724786214,,"사용","미소유",0,337,33,3,16,3,11,"양호"
725193307,,"사용","미소유",826,617,42,2,19,4,5,"양호"
726182123,,"사용","미소유",299,387,19,3,16,1,1,"양호"
726187269,,"사용","미소유",1120,888,48,3,20,5,12,"양호"
732824720,,"미사용","소유",162,444,43,43,16,4,10,"모호"
736292966,,"사용","미소유",277,276,32,2,16,4,5,"양호"
736816229,,"사용","미소유",187,450,26,6,16,7,5,"양호"
737741549,,"사용","소유",74,178,22,19,12,9,0,"불량"
738161967,,"사용","미소유",173,417,31,3,16,4,7,"모호"
739624533,,"사용","미소유",1395,464,38,2,16,6,3,"양호"
741213338,,"사용","미소유",168,404,23,23,16,10,0,"양호"
741260938,,"사용","미소유",162,390,21,4,16,10,0,"양호"
743757889,,"사용","미소유",105,254,32,4,16,14,5,"양호"
745286423,,"사용","미소유",228,549,29,6,19,6,11,"양호"
746261603,,"미사용","미소유",967,421,25,0,16,11,7,"불량"
746841386,,"사용","소유",463,351,22,22,16,4,2,"양호"
748385252,,"사용","미소유",274,658,44,5,19,2,5,"양호"
748822689,,"사용","미소유",173,417,21,7,16,15,1,"양호"
750974887,,"사용","미소유",240,578,51,2,16,14,13,"양호"
753312157,,"사용","미소유",197,473,37,37,16,9,6,"양호"
755730333,,"사용","소유",145,349,27,5,16,3,3,"양호"
760608275,,"사용","미소유",0,327,20,3,16,6,0,"양호"
765155180,,"사용","미소유",197,473,47,27,17,5,5,"양호"
772909627,,"사용","미소유",149,358,18,3,16,2,2,"양호"
773676921,,"미사용","미소유",167,401,32,0,16,6,12,"불량"
775179809,,"사용","미소유",349,838,84,64,19,2,9,"양호"
776812596,,"사용","미소유",82,198,27,1,12,9,8,"불량"
782718331,,"미사용","미소유",150,362,38,2,16,2,5,"모호"
782748532,,"사용","미소유",250,602,63,1,16,4,14,"양호"
784691726,,"사용","미소유",208,500,32,2,16,0,5,"양호"
786008489,,"사용","미소유",0,749,55,1,19,0,8,"양호"
786026393,,"사용","미소유",178,429,43,6,16,12,9,"불량"
788256636,,"미사용","소유",230,553,35,0,16,2,6,"불량"
790967770,,"미사용","소유",177,426,26,0,16,6,2,"불량"
792438620,,"사용","미소유",215,518,44,2,19,12,16,"양호"
795112227,,"사용","미소유",140,336,29,29,16,10,7,"양호"
801674467,,"사용","미소유",121,292,29,1,16,18,5,"양호"
801994895,,"사용","소유",170,410,32,32,16,8,7,"양호"
802758547,,"미사용","미소유",76,184,19,5,12,4,0,"불량"
802999860,,"사용","미소유",0,211,28,1,12,7,3,"불량"
803588731,,"사용","미소유",2473,827,60,2,22,4,7,"양호"
804352775,,"사용","미소유",192,461,20,3,16,5,1,"모호"
805945020,,"사용","미소유",159,383,25,2,16,2,4,"양호"
807754129,,"사용","미소유",0,160,18,15,12,7,2,"불량"
814250965,,"사용","미소유",108,261,24,1,12,3,1,"모호"
815564559,,"사용","미소유",222,535,41,7,19,1,6,"양호"
819183165,,"사용","미소유",168,405,47,3,16,12,9,"모호"
819488536,,"사용","미소유",152,367,27,27,16,8,4,"양호"
822483828,,"사용","미소유",170,408,29,1,12,1,2,"모호"
823133985,,"사용","소유",156,375,35,35,16,4,4,"모호"
823491870,,"사용","소유",320,769,63,3,19,10,17,"양호"
824808657,,"사용","미소유",0,271,25,22,12,16,5,"불량"
826130066,,"미사용","미소유",170,408,36,0,16,6,3,"불량"
827923168,,"미사용","미소유",205,494,33,0,16,13,1,"불량"
831279101,,"사용","미소유",177,425,31,5,16,1,9,"양호"
832631382,,"사용","미소유",106,256,25,22,12,14,4,"불량"
834484103,,"사용","미소유",624,397,19,4,16,4,0,"양호"
836381179,,"사용","소유",566,441,37,1,17,3,8,"양호"
838372018,,"사용","미소유",165,397,34,3,16,4,11,"양호"
843587722,,"사용","미소유",1690,408,41,2,16,8,5,"양호"
845707276,,"사용","소유",119,287,27,3,12,8,5,"모호"
849868822,,"사용","미소유",0,588,35,1,19,6,5,"양호"
855651275,,"사용","소유",596,414,20,5,16,13,1,"모호"
860385872,,"사용","미소유",194,466,20,5,16,7,0,"모호"
860566118,,"미사용","미소유",152,365,30,2,16,4,6,"모호"
861738967,,"사용","미소유",217,521,32,1,16,6,8,"양호"
864038119,,"사용","소유",446,479,47,5,16,3,8,"모호"
864794629,,"미사용","미소유",110,264,20,0,16,3,1,"불량"
864845318,,"사용","소유",0,697,45,3,19,0,13,"양호"
865079033,,"사용","미소유",1341,427,42,6,16,1,12,"양호"
866016689,,"미사용","소유",155,373,36,0,16,5,6,"불량"
868273998,,"미사용","소유",205,492,28,0,16,10,4,"불량"
868582551,,"사용","소유",176,424,20,20,16,3,1,"양호"
870250035,,"사용","미소유",493,388,29,29,16,8,3,"양호"
870337297,,"사용","미소유",147,353,25,4,16,4,3,"양호"
879522287,,"사용","미소유",122,294,28,4,16,3,2,"양호"
880512143,,"사용","소유",0,447,33,4,16,3,10,"모호"
881562396,,"사용","미소유",198,476,26,26,16,9,6,"양호"
881811707,,"미사용","미소유",377,906,45,2,20,10,8,"양호"
883654219,,"사용","소유",162,391,23,7,16,5,5,"양호"
887271516,,"사용","소유",167,402,31,31,16,10,6,"양호"
888150703,,"사용","소유",328,789,68,4,19,10,11,"양호"
892321790,,"사용","소유",595,505,45,6,16,17,5,"모호"
894428804,,"사용","소유",182,437,34,3,16,1,5,"모호"
896471465,,"사용","미소유",196,471,28,3,16,2,5,"양호"
897257027,,"미사용","미소유",212,510,42,0,16,1,5,"불량"
