날씨	요일	교통수단	출발시간	소요시간
맑음	주중	승용차	755	75
맑음	토	버스	719	36
눈비	토	승용차	802	49
맑음	토	승용차	651	29
눈비	토	지하철	540	54
맑음	토	지하철	630	61
눈비	월	버스	603	58
맑음	월	지하철	731	57
맑음	월	승용차	800	90
안개	주중	승용차	800	84
맑음	토	승용차	703	29
눈비	토	지하철	802	62
맑음	월	승용차	629	49
눈비	토	버스	632	43
눈비	토	승용차	701	42
맑음	월	버스	540	33
안개	월	지하철	730	61
맑음	주중	승용차	629	44
눈비	토	버스	611	48
안개	토	승용차	631	36
안개	월	승용차	609	51
안개	토	승용차	697	37
맑음	토	버스	609	31
안개	주중	승용차	709	71
안개	주중	지하철	709	60
눈비	토	지하철	721	58
맑음	월	지하철	650	63
안개	월	버스	709	82
맑음	주중	지하철	759	56
안개	토	승용차	609	31
안개	토	승용차	651	32
맑음	토	지하철	650	56
안개	주중	승용차	601	39
안개	주중	승용차	630	47
맑음	주중	지하철	610	58
눈비	토	지하철	601	63
맑음	주중	지하철	631	57
맑음	토	버스	630	28
눈비	주중	지하철	541	57
안개	토	버스	649	33
맑음	토	지하철	721	61
안개	월	지하철	609	62
맑음	월	승용차	711	71
안개	월	버스	611	50
맑음	주중	승용차	730	61
맑음	주중	지하철	710	54
눈비	주중	지하철	609	61
맑음	토	버스	800	38
안개	토	버스	540	31
안개	토	지하철	539	72
맑음	토	지하철	600	63
맑음	주중	지하철	650	56
맑음	토	버스	542	29
눈비	주중	승용차	711	86
안개	주중	지하철	601	57
안개	주중	지하철	611	59
안개	토	지하철	600	65
눈비	월	버스	721	103
맑음	토	승용차	802	38
눈비	주중	승용차	720	87
맑음	월	지하철	609	59
눈비	주중	지하철	800	54
눈비	월	승용차	709	102
맑음	월	버스	721	75
맑음	주중	버스	720	64
안개	토	승용차	600	32
안개	월	버스	538	47
안개	토	버스	600	34
안개	월	버스	722	84
맑음	토	지하철	700	65
안개	월	버스	730	85
눈비	월	버스	730	106
맑음	토	승용차	629	28
안개	월	지하철	601	60
눈비	월	승용차	700	101
맑음	월	승용차	700	71
눈비	월	승용차	720	100
안개	주중	버스	721	78
눈비	월	승용차	650	75
눈비	토	승용차	711	43
안개	월	지하철	800	69
맑음	월	지하철	630	64
맑음	주중	지하철	718	56
안개	주중	승용차	730	76
맑음	월	버스	612	40
안개	주중	승용차	544	28
눈비	토	승용차	730	44
눈비	월	지하철	700	66
눈비	월	승용차	559	58
맑음	토	지하철	539	61
안개	토	지하철	719	57
눈비	주중	지하철	720	61
눈비	주중	버스	601	50
눈비	주중	버스	659	94
맑음	월	승용차	731	73
눈비	월	버스	701	105
눈비	월	지하철	650	58
눈비	토	버스	719	51
맑음	주중	지하철	600	62
눈비	주중	승용차	729	94
안개	주중	승용차	650	56
안개	토	지하철	611	54
눈비	토	승용차	601	40
맑음	월	버스	759	89
안개	월	버스	658	83
안개	주중	버스	709	72
눈비	월	지하철	730	61
안개	토	버스	709	34
눈비	월	승용차	732	103
맑음	주중	버스	729	61
눈비	토	버스	730	45
눈비	주중	버스	710	89
맑음	월	지하철	659	73
눈비	월	승용차	610	60
눈비	월	지하철	758	62
눈비	주중	승용차	701	94
맑음	토	승용차	712	30
맑음	월	승용차	650	55
맑음	주중	지하철	732	57
안개	주중	버스	538	27
안개	월	지하철	701	58
맑음	월	승용차	541	31
맑음	토	승용차	729	32
안개	토	지하철	631	58
안개	주중	지하철	800	65
안개	월	버스	759	98
안개	토	승용차	730	38
맑음	주중	버스	539	28
맑음	월	버스	650	60
눈비	주중	승용차	651	69
안개	주중	버스	729	80
맑음	토	승용차	540	27
눈비	주중	버스	649	71
맑음	주중	승용차	611	32
안개	월	승용차	600	48
눈비	토	지하철	630	63
안개	주중	버스	701	73
맑음	주중	승용차	719	62
맑음	월	버스	600	39
안개	주중	버스	559	42
눈비	월	버스	710	99
안개	월	승용차	650	64
안개	월	승용차	540	42
맑음	주중	지하철	700	62
맑음	주중	버스	701	67
눈비	주중	지하철	629	60
맑음	주중	승용차	539	26
안개	주중	버스	630	52
눈비	토	버스	800	51
눈비	월	승용차	802	118
눈비	토	버스	709	48
안개	토	지하철	711	58
눈비	토	승용차	629	42
안개	토	승용차	540	30
맑음	주중	버스	710	60
안개	월	지하철	630	59
눈비	월	지하철	540	60
맑음	주중	승용차	649	45
눈비	월	버스	649	76
맑음	월	승용차	601	38
눈비	주중	지하철	652	60
맑음	월	지하철	758	63
눈비	주중	승용차	610	47
눈비	주중	승용차	629	60
안개	주중	지하철	729	62
눈비	주중	승용차	602	48
맑음	월	지하철	540	60
눈비	토	지하철	730	67
눈비	월	지하철	711	60
맑음	토	버스	729	36
안개	토	버스	610	36
눈비	주중	승용차	540	47
눈비	월	버스	801	121
안개	월	승용차	702	81
눈비	주중	버스	730	95
눈비	토	지하철	611	58
눈비	주중	지하철	731	55
눈비	토	승용차	720	52
안개	주중	버스	610	42
맑음	월	승용차	610	39
눈비	주중	버스	759	108
맑음	주중	버스	800	80
안개	월	버스	559	51
눈비	월	버스	539	53
눈비	주중	버스	540	49
눈비	월	지하철	630	54
눈비	토	지하철	709	59
맑음	월	버스	659	73
안개	토	버스	721	41
안개	주중	승용차	700	70
맑음	주중	버스	630	44
안개	토	지하철	801	70
