고객ID,성별,연령,개시일,서비스기간,단선횟수,지불방법,요금제,이탈여부,핸드셋
K100550,남,27,14/07/97,39.533333,1,선불,CAT 50,이탈,SOP10
K100560,남,40,12/04/96,54.8,1,선불,CAT 50,이탈,SOP20
K100570,남,41,05/05/98,29.7,1,선불,CAT 50,이탈,SOP10
K100580,남,27,27/07/98,26.933333,1,선불,CAT 50,이탈,SOP20
K100590,남,35,20/02/96,56.533333,8,선불,CAT 50,이탈,SOP20
K100600,남,35,31/07/98,26.8,0,선불,CAT 50,이탈,SOP10
K100610,남,34,16/07/96,51.633333,2,선불,CAT 50,이탈,SOP20
K100620,남,30,04/03/96,56.1,1,선불,CAT 50,이탈,SOP20
K100630,남,45,01/10/96,49.066667,4,선불,CAT 50,이탈,SOP10
K100640,남,37,20/03/97,43.4,0,선불,CAT 50,이탈,SOP20
K100650,남,48,09/06/96,52.866667,3,선불,CAT 50,이탈,SOP10
K100660,남,42,28/10/99,11.666667,1,선불,CAT 50,이탈,SOP20
K100670,남,38,11/01/98,33.5,2,선불,CAT 50,이탈,SOP20
K100680,남,28,02/10/97,36.866667,7,선불,CAT 50,이탈,SOP20
K100690,남,30,02/10/97,36.866667,2,선불,CAT 50,이탈,SOP10
K100700,남,29,05/04/99,18.533333,2,선불,CAT 50,이탈,SOP10
K100710,남,37,23/10/99,11.833333,0,선불,CAT 50,이탈,SOP20
K100720,남,40,01/02/99,20.633333,1,선불,CAT 50,이탈,SOP20
K100730,남,40,31/07/96,51.133333,0,선불,CAT 50,이탈,SOP20
K100740,남,37,19/10/99,11.966667,1,선불,CAT 50,유지,SOP10
K100750,남,28,14/10/96,48.633333,1,선불,CAT 50,이탈,SOP10
K100760,남,37,24/05/99,16.9,1,선불,CAT 50,이탈,SOP20
K100770,남,33,23/01/96,57.466667,2,선불,Play 100,이탈,SOP10
K100780,남,36,23/04/98,30.1,2,선불,Play 100,이탈,SOP10
K100790,남,29,16/11/96,47.533333,1,선불,Play 100,이탈,SOP10
K100800,남,39,24/05/97,41.233333,1,선불,Play 100,이탈,SOP20
K100810,남,42,25/12/97,34.066667,0,선불,Play 100,이탈,SOP20
K100820,남,37,22/07/98,27.1,0,선불,Play 100,이탈,SOP20
K100830,남,33,16/01/97,45.5,8,선불,Play 100,이탈,SOP10
K100840,남,33,26/05/98,29,1,선불,Play 100,이탈,SOP20
K100850,남,31,27/10/99,11.7,2,선불,Play 100,이탈,SOP20
K100860,남,25,07/03/99,19.5,0,선불,Play 100,이탈,SOP10
K100870,남,38,09/05/96,53.9,7,선불,Play 100,이탈,SOP20
K100880,남,33,23/08/97,38.2,0,선불,Play 100,이탈,SOP20
K100890,남,42,01/07/98,27.8,7,선불,Play 100,이탈,SOP10
K100900,남,27,01/04/98,30.833333,2,선불,Play 100,이탈,SOP10
K100910,남,28,07/12/96,46.833333,1,선불,Play 100,이탈,SOP20
K100920,남,33,24/04/99,17.9,2,선불,Play 100,이탈,SOP10
K100930,남,25,14/07/96,51.7,1,선불,Play 100,이탈,SOP10
K100940,남,42,05/01/96,58.066667,5,선불,Play 100,이탈,SOP10
K100950,남,38,04/01/98,33.733333,1,선불,Play 100,이탈,SOP10
K100960,남,25,23/12/97,34.133333,0,선불,Play 100,이탈,SOP20
K100970,남,37,01/04/99,18.666667,1,선불,Play 100,이탈,SOP10
K100980,남,30,04/04/96,55.066667,2,선불,Play 100,이탈,SOP20
K100990,남,28,04/02/96,57.066667,1,선불,Play 100,이탈,SOP20
K101000,남,41,19/08/97,38.333333,1,선불,Play 100,이탈,SOP20
K101010,남,28,24/09/96,49.3,8,선불,Play 100,유지,SOP10
K101020,남,35,06/02/99,20.466667,0,선불,Play 100,이탈,SOP20
K101030,남,35,13/08/99,14.2,9,선불,Play 100,이탈,SOP10
K101040,남,30,25/07/98,27,0,선불,Play 100,이탈,SOP20
K101050,남,38,02/01/98,33.8,2,선불,Play 100,이탈,SOP10
K101060,남,50,02/05/97,41.966667,2,선불,Play 100,이탈,SOP10
K101070,남,50,16/09/96,49.566667,1,선불,Play 100,이탈,SOP10
K101080,남,36,13/05/99,17.266667,5,선불,Play 100,이탈,SOP20
K101090,남,37,28/04/97,42.1,5,선불,Play 100,이탈,SOP20
K101100,남,49,15/07/98,27.333333,8,선불,Play 100,이탈,SOP20
K101110,남,38,03/10/96,49,0,선불,Play 100,이탈,SOP10
K101120,남,43,26/03/97,43.2,2,선불,Play 100,이탈,SOP20
K101130,남,28,06/11/97,35.7,4,선불,Play 100,이탈,SOP20
K101140,남,28,22/12/99,9.833333,0,선불,Play 100,이탈,SOP10
K101150,남,30,21/02/99,19.966667,8,선불,Play 100,이탈,SOP20
K101160,남,32,11/02/99,20.3,0,선불,Play 100,이탈,SOP20
K101170,남,29,21/01/96,57.533333,1,선불,Play 100,이탈,SOP10
K101180,남,37,10/02/99,20.333333,1,선불,Play 100,이탈,SOP10
K101190,남,27,18/08/97,38.366667,2,선불,Play 100,이탈,SOP10
K101200,남,28,26/11/96,47.2,0,선불,Play 100,이탈,SOP10
K101210,남,37,04/07/96,52.033333,0,선불,Play 100,이탈,SOP20
K101220,남,32,23/12/96,46.3,9,선불,Play 100,이탈,SOP10
K101230,남,44,13/11/99,11.133333,0,선불,Play 100,이탈,SOP10
K101240,남,26,26/10/97,36.066667,2,선불,Play 100,이탈,SOP20
K101250,남,44,03/02/97,44.9,2,선불,Play 100,이탈,SOP20
K101260,남,32,27/11/97,35,9,선불,Play 100,이탈,SOP20
K101270,남,49,08/07/97,39.733333,0,선불,Play 100,이탈,SOP20
K101280,남,30,31/03/99,18.7,6,선불,Play 100,이탈,SOP10
K101290,남,27,26/04/97,42.166667,6,선불,Play 100,이탈,SOP20
K101300,남,38,27/11/97,35,1,선불,Play 100,이탈,SOP10
K101310,남,41,24/08/98,26,2,선불,Play 100,이탈,SOP10
K101320,남,34,28/06/98,27.9,0,선불,Play 100,이탈,SOP20
K101330,남,44,01/02/99,20.633333,1,선불,Play 100,이탈,SOP10
K101340,남,41,17/12/98,22.166667,2,선불,Play 100,이탈,SOP20
K101350,남,33,13/03/97,43.633333,1,선불,Play 100,이탈,SOP20
K101360,남,36,13/01/98,33.433333,2,선불,Play 100,이탈,SOP10
K101370,남,40,17/07/97,39.433333,0,선불,Play 100,이탈,SOP10
K101380,남,47,15/09/97,37.433333,2,선불,Play 100,이탈,SOP20
K101390,남,43,06/09/98,25.566667,5,선불,Play 100,이탈,SOP10
K101400,남,26,27/12/99,9.666667,1,선불,Play 100,이탈,SOP10
K101410,남,26,05/04/97,42.866667,1,선불,Play 100,이탈,SOP10
K101420,남,33,04/06/96,53.033333,3,선불,Play 100,이탈,SOP10
K101430,남,47,14/05/98,29.4,2,선불,Play 100,이탈,SOP10
K101440,남,37,10/09/99,13.266667,0,선불,Play 100,이탈,SOP10
K101450,남,38,03/02/99,20.566667,9,선불,Play 100,이탈,SOP10
K101460,남,29,01/09/97,37.9,9,선불,Play 100,이탈,SOP20
K101470,남,30,20/03/97,43.4,3,선불,Play 100,이탈,SOP20
K101480,남,26,02/04/99,18.633333,2,선불,Play 100,이탈,SOP10
K101490,남,27,14/10/96,48.633333,2,선불,Play 100,이탈,SOP10
K101500,남,26,11/05/99,17.333333,1,선불,Play 100,이탈,SOP20
K101510,남,34,01/10/97,36.9,10,선불,Play 100,이탈,SOP10
K101520,남,45,17/08/96,50.566667,1,선불,Play 100,이탈,SOP10
K101530,남,37,01/05/96,54.166667,2,선불,Play 100,이탈,SOP20
K101540,남,29,01/01/98,33.833333,0,선불,Play 100,이탈,SOP10
K101550,남,30,20/12/97,34.233333,0,선불,Play 100,이탈,SOP10
K101560,남,44,12/03/97,43.666667,0,선불,Play 100,이탈,SOP20
K101570,남,26,02/04/97,42.966667,2,선불,Play 100,이탈,SOP10
K101580,남,25,05/07/96,52,1,선불,Play 100,이탈,SOP10
K101590,남,39,01/10/98,24.733333,2,선불,Play 100,이탈,SOP20
K101600,남,25,18/12/98,22.133333,3,선불,Play 100,이탈,SOP20
K101610,남,50,02/02/98,32.766667,1,선불,Play 100,이탈,SOP20
K101620,남,28,31/07/97,38.966667,1,선불,Play 100,이탈,SOP10
K101630,남,33,03/09/99,13.5,1,선불,Play 100,이탈,SOP20
K101640,남,31,20/09/97,37.266667,1,선불,Play 100,이탈,SOP10
K101650,남,25,25/07/97,39.166667,0,선불,Play 100,이탈,SOP20
K101660,남,31,12/01/97,45.633333,2,선불,Play 100,이탈,SOP10
K101670,남,25,11/06/98,28.466667,0,선불,Play 100,이탈,SOP20
K101680,남,25,15/12/98,22.233333,0,선불,Play 100,이탈,SOP10
K101690,남,33,01/08/98,26.766667,1,선불,Play 100,이탈,SOP20
K101700,남,28,23/02/99,19.9,9,선불,Play 100,이탈,SOP10
K101710,남,30,27/08/99,13.733333,11,선불,Play 100,이탈,SOP10
K101720,남,36,26/04/96,54.333333,2,선불,Play 100,이탈,SOP20
K101730,남,45,09/02/98,32.533333,2,선불,Play 100,이탈,SOP10
K101740,남,35,01/06/96,53.133333,2,선불,Play 100,이탈,SOP20
K101750,남,44,19/11/97,35.266667,2,선불,Play 100,이탈,SOP20
K101760,남,28,25/03/98,31.066667,7,선불,Play 100,이탈,SOP20
K101770,남,30,06/05/99,17.5,0,선불,Play 100,이탈,SOP20
K101780,남,33,25/08/98,25.966667,0,선불,Play 100,이탈,SOP20
K101790,남,30,04/02/97,44.866667,1,선불,Play 100,이탈,SOP10
K101800,남,40,21/07/96,51.466667,2,선불,Play 100,이탈,SOP10
K101810,남,44,14/05/99,17.233333,1,선불,Play 100,이탈,SOP20
K101820,남,26,03/06/96,53.066667,0,선불,Play 100,이탈,SOP20
K101830,남,37,16/10/98,24.233333,1,선불,Play 100,이탈,SOP20
K101840,남,30,23/01/98,33.1,1,선불,Play 100,이탈,SOP10
K101850,남,29,08/12/97,34.633333,1,선불,Play 100,이탈,SOP20
K101860,남,28,12/08/99,14.233333,0,선불,Play 100,이탈,SOP10
K101870,남,31,12/10/98,24.366667,2,선불,Play 100,유지,SOP20
K101880,남,45,27/03/98,31,2,선불,Play 100,이탈,SOP10
K101890,남,33,27/05/99,16.8,1,선불,Play 100,이탈,SOP20
K101900,남,39,26/07/98,26.966667,0,선불,Play 100,이탈,SOP10
K101910,남,25,04/06/98,28.7,0,선불,Play 100,이탈,SOP10
K101920,남,29,09/05/99,17.4,0,선불,Play 100,이탈,SOP10
K101930,남,25,02/04/98,30.8,1,선불,Play 100,이탈,SOP10
K101940,남,33,01/01/99,21.666667,0,선불,Play 100,이탈,SOP10
K101950,남,34,28/07/97,39.066667,1,선불,Play 100,이탈,SOP20
K101960,남,39,20/05/97,41.366667,2,선불,Play 100,이탈,SOP10
K101970,남,33,27/05/98,28.966667,2,선불,Play 100,이탈,SOP20
K101980,남,28,27/04/99,17.8,1,선불,Play 100,이탈,SOP10
K101990,남,41,05/12/97,34.733333,0,선불,Play 100,이탈,SOP20
K102000,남,32,03/10/97,36.833333,6,선불,Play 100,이탈,SOP10
K102010,남,32,25/01/96,57.4,2,선불,Play 100,이탈,SOP10
K102020,남,38,15/08/96,50.633333,6,선불,Play 100,이탈,SOP20
K102030,남,37,05/08/97,38.8,7,선불,Play 100,이탈,SOP20
K102040,남,26,11/03/99,19.366667,2,선불,Play 100,이탈,SOP20
K102050,남,36,07/10/96,48.866667,1,선불,Play 100,이탈,SOP10
K102060,여,55,31/05/97,41,1,선불,CAT 50,이탈,SOP20
K102070,여,68,01/06/97,40.966667,1,선불,CAT 50,이탈,SOP10
K102080,남,57,18/01/98,33.266667,0,선불,CAT 50,이탈,SOP10
K102090,남,59,03/02/96,57.1,0,선불,CAT 50,이탈,SOP10
K102100,여,56,01/04/96,55.166667,2,선불,CAT 50,이탈,SOP20
K102110,여,58,02/12/99,10.5,1,선불,CAT 50,이탈,SOP10
K102120,남,75,09/08/98,26.5,10,선불,CAT 50,이탈,SOP10
K102130,남,56,31/01/99,20.666667,2,선불,CAT 50,이탈,SOP20
K102140,여,63,31/05/99,16.666667,0,선불,CAT 50,이탈,SOP20
K102150,남,70,17/09/96,49.533333,2,선불,CAT 50,이탈,SOP10
K102160,여,51,13/03/97,43.633333,1,선불,CAT 50,이탈,SOP10
K102170,남,64,26/12/98,21.866667,11,선불,CAT 50,이탈,SOP20
K102180,여,55,18/04/98,30.266667,0,선불,CAT 50,이탈,SOP10
K102190,남,54,17/11/96,47.5,2,선불,CAT 50,이탈,SOP20
K102200,남,51,11/10/96,48.733333,6,선불,CAT 50,이탈,SOP10
K102210,여,55,23/12/96,46.3,5,선불,CAT 50,이탈,SOP20
K102220,남,61,14/04/99,18.233333,2,선불,CAT 50,이탈,SOP20
K102230,남,58,07/07/98,27.6,1,선불,CAT 50,이탈,SOP10
K102240,여,67,09/01/96,57.933333,1,선불,CAT 50,이탈,SOP10
K102250,남,55,24/12/99,9.766667,0,선불,CAT 50,이탈,SOP20
K102260,여,58,14/10/97,36.466667,0,선불,CAT 50,이탈,SOP20
K102270,남,54,14/08/98,26.333333,0,선불,CAT 50,이탈,SOP20
K102280,여,56,13/11/96,47.633333,2,선불,Play 100,이탈,SOP10
K102290,남,64,28/06/99,15.733333,8,선불,Play 100,이탈,SOP20
K102300,남,54,19/03/97,43.433333,1,선불,Play 100,이탈,SOP10
K102310,여,55,18/07/97,39.4,1,선불,Play 100,이탈,SOP10
K102320,여,57,07/12/97,34.666667,8,선불,Play 100,이탈,SOP10
K102330,여,58,02/03/98,31.833333,9,선불,Play 100,이탈,SOP20
K102340,여,54,24/05/99,16.9,7,선불,Play 100,이탈,SOP20
K102350,남,53,12/12/97,34.5,2,선불,Play 100,이탈,SOP20
K102360,여,62,25/06/99,15.833333,2,선불,Play 100,이탈,SOP10
K102370,여,54,01/08/98,26.766667,1,선불,Play 100,이탈,SOP10
K102380,남,51,23/07/98,27.066667,1,선불,Play 100,이탈,SOP10
K102390,남,63,17/02/98,32.266667,1,선불,Play 100,이탈,SOP20
K102400,남,70,08/03/97,43.8,2,선불,Play 100,이탈,SOP10
K102410,여,55,14/07/97,39.533333,2,선불,Play 100,이탈,SOP10
K102420,남,59,28/01/98,32.933333,0,선불,Play 100,이탈,SOP20
K102430,남,56,07/05/97,41.8,2,선불,Play 100,이탈,SOP20
K102440,여,51,26/03/96,55.366667,2,선불,Play 100,이탈,SOP20
K102450,남,59,06/09/97,37.733333,1,선불,Play 100,이탈,SOP20
K102460,남,57,01/06/96,53.133333,0,선불,Play 100,유지,SOP20
K102470,남,64,16/08/99,14.1,11,선불,Play 100,이탈,SOP20
K102480,남,53,26/09/99,12.733333,2,선불,Play 100,이탈,SOP10
K102490,여,59,10/01/98,33.533333,0,선불,Play 100,이탈,SOP20
K102500,남,61,16/02/97,44.466667,2,선불,Play 100,이탈,SOP10
K102510,여,52,23/12/96,46.3,4,선불,Play 100,이탈,SOP10
K102520,여,67,09/08/99,14.333333,0,선불,Play 100,이탈,SOP10
K102530,여,62,17/06/98,28.266667,2,선불,Play 100,이탈,SOP20
K102540,여,53,01/04/99,18.666667,2,선불,Play 100,유지,SOP20
K102550,남,57,06/06/97,40.8,1,선불,Play 100,이탈,SOP20
K102560,남,51,12/05/98,29.466667,1,선불,Play 100,이탈,SOP10
K102570,여,63,21/04/97,42.333333,9,선불,Play 100,이탈,SOP10
K102580,남,56,15/07/97,39.5,2,선불,Play 100,이탈,SOP10
K102590,여,62,22/09/98,25.033333,1,선불,Play 100,이탈,SOP20
K102600,여,45,02/10/98,24.7,2,선불,CAT 100,유지,ASAD170
K102610,여,34,27/09/98,24.866667,2,선불,CAT 100,이탈,ASAD90
K102620,여,26,10/12/99,10.233333,0,선불,CAT 100,유지,S50
K102630,여,35,02/10/96,49.033333,1,선불,CAT 100,유지,ASAD170
K102640,남,27,07/01/96,58,5,선불,CAT 100,유지,S50
K102650,남,30,21/04/99,18,10,선불,CAT 100,유지,S50
K102660,여,31,17/07/98,27.266667,2,선불,CAT 100,유지,S80
K102670,여,33,10/06/99,16.333333,1,선불,CAT 100,이탈,ASAD90
K102680,여,35,21/05/98,29.166667,0,선불,CAT 100,이탈,ASAD90
K102690,여,74,28/09/99,12.666667,0,선불,CAT 100,유지,ASAD170
K102700,여,34,15/06/98,28.333333,1,선불,CAT 100,유지,S50
K102710,남,31,02/09/98,25.7,10,선불,CAT 100,유지,S50
K102720,남,34,06/03/96,56.033333,2,선불,CAT 100,이탈,ASAD90
K102730,남,27,28/02/96,56.266667,1,선불,CAT 100,유지,S50
K102740,여,26,25/05/96,53.366667,2,선불,CAT 100,이탈,ASAD90
K102750,여,40,01/02/98,32.8,0,선불,CAT 100,유지,ASAD170
K102760,남,52,31/07/96,51.133333,1,선불,CAT 100,이탈,ASAD90
K102770,여,27,26/04/97,42.166667,1,선불,CAT 100,이탈,ASAD90
K102780,여,32,01/06/96,53.133333,1,선불,CAT 100,유지,ASAD170
K102790,여,35,10/12/97,34.566667,1,선불,CAT 100,유지,S80
K102800,남,34,05/10/97,36.766667,0,선불,CAT 100,유지,S80
K102810,남,38,14/05/96,53.733333,1,선불,CAT 100,이탈,ASAD90
K102820,여,31,17/11/96,47.5,0,선불,CAT 100,이탈,ASAD90
K102830,여,48,15/10/97,36.433333,2,선불,CAT 100,유지,ASAD170
K102840,여,26,15/07/98,27.333333,6,선불,CAT 100,유지,S50
K102850,여,70,28/07/98,26.9,0,선불,CAT 100,이탈,ASAD90
K102860,남,40,03/03/96,56.133333,1,선불,CAT 100,유지,ASAD90
K102870,남,26,16/09/96,49.566667,1,선불,CAT 100,이탈,ASAD90
K102880,남,41,17/04/98,30.3,0,선불,CAT 100,유지,ASAD170
K102890,여,48,17/05/99,17.133333,1,선불,CAT 100,이탈,S80
K102900,여,29,19/01/96,57.6,0,선불,CAT 100,유지,ASAD170
K102910,남,44,06/04/97,42.833333,6,선불,CAT 100,유지,S50
K102920,남,33,13/04/97,42.6,2,선불,CAT 100,유지,S50
K102930,여,34,15/06/98,28.333333,2,선불,CAT 100,이탈,ASAD90
K102940,남,53,17/11/98,23.166667,2,선불,CAT 100,유지,ASAD170
K102950,남,31,18/06/96,52.566667,11,선불,CAT 100,유지,ASAD170
K102960,남,28,17/09/96,49.533333,5,선불,CAT 100,이탈,ASAD90
K102970,여,29,22/07/98,27.1,2,선불,CAT 100,유지,ASAD170
K102980,여,47,13/11/97,35.466667,2,선불,CAT 100,이탈,ASAD90
K102990,여,31,16/01/98,33.333333,6,선불,CAT 100,유지,ASAD170
K103000,여,27,23/06/98,28.066667,5,선불,CAT 100,유지,S80
K103010,여,31,12/12/97,34.5,5,선불,CAT 100,유지,ASAD170
K103020,여,34,11/09/96,49.733333,2,선불,CAT 100,유지,S80
K103030,남,44,20/01/98,33.2,0,선불,CAT 100,유지,ASAD170
K103040,남,64,22/01/97,45.3,1,선불,CAT 100,유지,ASAD170
K103050,여,52,18/04/97,42.433333,1,선불,CAT 100,유지,ASAD90
K103060,여,50,05/01/99,21.533333,1,선불,CAT 100,유지,ASAD170
K103070,여,33,05/06/98,28.666667,0,선불,CAT 100,이탈,ASAD90
K103080,남,26,07/04/96,54.966667,2,선불,CAT 100,이탈,ASAD90
K103090,남,32,03/01/97,45.933333,1,선불,CAT 100,유지,S50
K103100,남,31,09/06/96,52.866667,1,선불,CAT 100,이탈,ASAD90
K103110,남,35,01/11/98,23.7,10,선불,CAT 100,유지,S80
K103120,남,68,06/03/99,19.533333,0,선불,CAT 100,유지,ASAD170
K103130,여,49,14/04/97,42.566667,7,선불,CAT 100,유지,S80
K103140,남,42,18/01/96,57.633333,7,선불,CAT 100,유지,S80
K103150,여,29,08/12/97,34.633333,10,선불,CAT 100,유지,ASAD170
K103160,남,32,11/02/97,44.633333,1,선불,CAT 100,유지,S50
K103170,여,36,11/02/97,44.633333,0,선불,CAT 100,이탈,ASAD90
K103180,남,27,10/12/97,34.566667,2,선불,CAT 100,유지,S80
K103190,남,30,18/01/97,45.433333,0,선불,CAT 100,이탈,ASAD90
K103200,여,29,19/12/98,22.1,2,선불,CAT 100,유지,S80
K103210,남,32,15/11/98,23.233333,2,선불,CAT 100,이탈,ASAD90
K103220,여,27,15/08/97,38.466667,2,선불,CAT 100,유지,S80
K103230,남,26,07/10/97,36.7,0,선불,CAT 100,유지,ASAD170
K103240,남,46,25/10/96,48.266667,8,선불,CAT 100,유지,S50
K103250,남,47,05/01/97,45.866667,2,선불,CAT 100,유지,S50
K103260,여,30,16/05/99,17.166667,0,선불,CAT 100,유지,S50
K103270,여,66,12/11/96,47.666667,0,선불,CAT 100,유지,S50
K103280,남,27,31/03/98,30.866667,10,선불,CAT 100,유지,S50
K103290,남,42,10/04/96,54.866667,1,선불,CAT 100,유지,S50
K103300,여,56,13/12/96,46.633333,1,선불,CAT 100,유지,S50
K103310,여,29,21/01/98,33.166667,1,선불,CAT 100,유지,S50
K103320,남,40,18/09/96,49.5,10,선불,CAT 100,이탈,ASAD170
K103330,여,27,10/01/99,21.366667,10,선불,CAT 100,유지,S50
K103340,여,48,11/06/98,28.466667,1,선불,CAT 100,이탈,ASAD90
K103350,여,29,23/05/98,29.1,1,선불,CAT 100,유지,ASAD170
K103360,남,45,12/02/97,44.6,0,선불,CAT 100,이탈,ASAD90
K103370,남,34,15/12/96,46.566667,4,선불,CAT 100,유지,S50
K103380,남,59,03/10/97,36.833333,0,선불,CAT 100,이탈,ASAD90
K103390,남,42,12/08/96,50.733333,0,선불,CAT 100,유지,S50
K103400,여,52,01/11/98,23.7,4,선불,CAT 100,유지,S80
K103410,여,46,05/01/99,21.533333,1,선불,CAT 100,유지,S80
K103420,여,35,31/01/99,20.666667,8,선불,CAT 100,유지,S80
K103430,남,28,18/03/96,55.633333,2,선불,CAT 100,유지,ASAD170
K103440,여,26,06/12/98,22.533333,2,선불,CAT 100,유지,S80
K103450,여,32,17/12/99,10,0,선불,CAT 100,이탈,ASAD90
K103460,남,40,08/09/98,25.5,2,선불,CAT 100,유지,S50
K103470,남,39,03/12/97,34.8,1,선불,CAT 100,유지,ASAD170
K103480,남,29,01/12/98,22.7,5,선불,CAT 100,유지,S50
K103490,여,42,06/10/97,36.733333,2,선불,CAT 100,이탈,ASAD90
K103500,남,41,23/10/99,11.833333,10,선불,CAT 100,유지,S80
K103510,남,30,04/09/98,25.633333,0,선불,CAT 100,유지,ASAD170
K103520,남,27,07/02/99,20.433333,0,선불,CAT 100,유지,ASAD170
K103530,여,41,13/12/98,22.3,0,선불,CAT 100,이탈,ASAD90
K103540,여,40,05/04/97,42.866667,11,선불,CAT 100,유지,S50
K103550,여,26,10/12/98,22.4,11,선불,CAT 100,유지,S50
K103560,남,28,13/12/96,46.633333,0,선불,CAT 100,이탈,ASAD90
K103570,남,69,23/05/99,16.933333,0,선불,CAT 100,유지,ASAD170
K103580,남,56,16/03/98,31.366667,10,선불,CAT 100,유지,S80
K103590,남,30,17/04/98,30.3,4,선불,CAT 100,유지,S50
K103600,남,37,17/02/99,20.1,0,선불,CAT 100,이탈,ASAD170
K103610,남,32,19/08/97,38.333333,1,선불,CAT 100,유지,S80
K103620,여,28,08/03/97,43.8,0,선불,CAT 100,이탈,S50
K103630,남,52,20/11/96,47.4,1,선불,CAT 100,유지,ASAD90
K103640,남,26,15/10/97,36.433333,11,선불,CAT 100,유지,S50
K103650,여,52,15/05/98,29.366667,8,선불,CAT 100,유지,S80
K103660,남,27,21/09/96,49.4,11,선불,CAT 100,유지,ASAD170
K103670,여,32,13/07/97,39.566667,2,선불,CAT 100,이탈,S80
