Customer_ID,Gender,Age,Connect_Date,L_O_S,Dropped_Calls,Pay Method,tariff,Churn,Handset,Peak_calls_Sum,Peak_mins_Sum,OffPeak_calls_Sum,OffPeak_mins_Sum,Weekend_calls_Sum,Weekend_mins_Sum,International_mins_Sum,Nat_call_cost_Sum,AvePeak,AveOffPeak,AveWeekend,National_calls,National mins,AveNational,All_calls_mins,Usage_Band,Mins_charge,call_cost_per_min,actual call cost,Total_call_cost,Total_Cost,Tariff_OK,average cost min,Group
K105330,F,42,24/09/97,37.133333,2,Pre Pay,CAT 100,Active,S50,233,625.200000,224,362.700000,1,4.800000,252.079462,44.367149,2.683262,1.619196,4.800000,458,992.700000,2.167467,1244.779462,Med,392.700000,11.297975,44.367149,119.990987,224.990987,OK,0.180748,1
K249860,M,34,11/05/96,53.833333,1,Pre Pay,CAT 100,Churned,BS110,37,802.800001,1,6.900000,5,9.000000,79.376616,32.380261,21.697297,6.900000,1.800000,43,818.700001,19.039535,898.076617,Med,218.700001,14.805790,32.380262,56.193247,161.193247,OK,0.179487,1
K105540,M,26,18/09/98,25.166667,9,Pre Pay,CAT 100,Active,S50,190,367.800000,42,318.600000,6,17.500000,229.288331,10.623956,1.935789,7.585714,2.916667,238,703.900000,2.957563,933.188331,Med,103.900000,10.225174,10.623956,79.410455,184.410455,OK,0.197613,1
K104620,M,57,08/12/96,46.800000,2,Pre Pay,CAT 100,Churned,S80,429,802.200000,11,57.900000,15,33.600000,263.274807,41.048002,1.869930,5.263636,2.240000,455,893.700000,1.964176,1156.974807,Med,293.700000,13.976166,41.048001,120.030443,225.030443,OK,0.194499,1
K102830,F,48,15/10/97,36.433333,2,Pre Pay,CAT 100,Active,ASAD170,239,369.000000,160,279.300001,24,39.600000,193.919278,9.110090,1.543933,1.745625,1.650000,423,687.900001,1.626241,881.819279,Med,87.900001,10.364152,9.110089,67.285873,172.285873,OK,0.195375,1
K102740,F,26,25/05/96,53.366667,2,Pre Pay,CAT 100,Churned,ASAD90,193,378.000000,140,330.300000,17,41.000000,221.075637,14.996750,1.958549,2.359286,2.411765,350,749.300000,2.140857,970.375637,Med,149.300000,10.044708,14.996750,81.319441,186.319441,OK,0.192008,1
K102680,F,35,21/05/98,29.166667,0,Pre Pay,CAT 100,Churned,ASAD90,362,576.599999,74,205.200000,0,0.000000,192.455992,22.593127,1.592818,2.772973,0.000000,436,781.799999,1.793119,974.255991,Med,181.799999,12.375288,22.498273,80.235071,185.235071,OK,0.190130,1
K105470,F,60,25/11/97,35.066667,2,Pre Pay,CAT 100,Active,S80,410,688.799999,5,15.600000,33,150.600001,227.996695,33.293158,1.680000,3.120000,4.563636,448,855.000000,1.908482,1082.996695,Med,255.000000,13.056140,33.293158,101.692166,206.692166,OK,0.190852,1
K102770,F,27,26/04/97,42.166667,1,Pre Pay,CAT 100,Churned,ASAD90,495,789.600000,33,55.200000,45,90.000000,308.060657,45.019640,1.595152,1.672727,2.000000,573,934.800000,1.631414,1242.860657,Med,334.800000,13.446727,45.019641,137.437838,242.437838,OK,0.195064,1
K105660,M,48,20/03/98,31.233333,11,Pre Pay,CAT 100,Churned,ASAD90,241,677.400001,77,186.599999,14,103.800001,211.418239,44.133720,2.810788,2.423377,7.414286,332,967.800001,2.915060,1179.218240,Med,367.800001,11.999380,44.133720,107.559192,212.559192,OK,0.180254,1
K105850,F,33,13/10/98,24.333333,1,Pre Pay,CAT 100,Active,ASAD170,125,357.000000,54,152.400000,11,38.400000,180.437286,0.000000,2.856000,2.822222,3.490909,190,547.800000,2.883158,728.237286,Med,-52.200000,11.516977,0.000000,54.131186,159.131186,OK,0.218516,1
K102860,M,40,03/03/96,56.133333,1,Pre Pay,CAT 100,Active,ASAD90,311,544.800000,163,270.900000,53,126.599999,182.843747,36.905410,1.751768,1.661963,2.388679,527,942.299999,1.788046,1125.143746,Med,342.299999,10.781598,36.905411,91.758535,196.758535,OK,0.174874,1
K105810,F,26,31/03/98,30.866667,1,Pre Pay,CAT 100,Active,ASAD170,322,632.399999,7,29.100001,55,90.600001,222.757895,20.394262,1.963975,4.157143,1.647273,384,752.100001,1.958594,974.857896,Med,152.100001,13.408456,20.394262,87.221631,192.221631,OK,0.197179,1
K102880,M,41,17/04/98,30.300000,0,Pre Pay,CAT 100,Active,ASAD170,414,625.800000,78,123.600000,20,41.400000,191.532014,24.638968,1.511594,1.584615,2.070000,512,790.800000,1.544531,982.332014,Med,190.800000,12.913505,24.638968,82.098572,187.098572,OK,0.190464,1
K106020,F,29,15/07/99,15.166667,4,Pre Pay,CAT 100,Active,ASAD170,416,706.799999,49,129.299999,59,99.000000,238.338156,42.083700,1.699038,2.638775,1.677966,524,935.099998,1.784542,1173.438154,Med,335.099998,12.558550,42.083700,113.585147,218.585147,OK,0.186278,1
K105880,F,30,21/01/97,45.333333,2,Pre Pay,CAT 100,Active,ASAD170,262,514.799999,23,146.399999,3,37.000000,218.944634,12.150527,1.964885,6.365217,12.333333,288,698.199998,2.424306,917.144632,Med,98.199998,12.373245,12.150527,77.833917,182.833917,OK,0.199351,1
K102930,F,34,15/06/98,28.333333,2,Pre Pay,CAT 100,Churned,ASAD90,290,505.800000,78,249.900001,20,33.000000,211.389266,21.536491,1.744138,3.203846,1.650000,388,788.700001,2.032732,1000.089267,Med,188.700001,11.413085,21.536491,84.953271,189.953271,OK,0.189936,1
K102970,F,29,22/07/98,27.100000,2,Pre Pay,CAT 100,Active,ASAD170,276,581.400000,74,286.200000,3,13.800000,290.169620,32.632055,2.106522,3.867568,4.600000,353,881.400000,2.496884,1171.569620,Med,281.400000,11.596324,32.632056,119.682942,224.682942,OK,0.191779,1
K105940,F,27,26/06/98,27.966667,4,Pre Pay,CAT 100,Active,S80,275,466.200000,76,168.900001,5,33.599999,219.276948,8.224584,1.695273,2.222368,6.720000,356,668.700000,1.878371,887.976948,Med,68.700000,11.971736,8.224583,74.007667,179.007667,OK,0.201590,1
K103040,M,64,22/01/97,45.300000,1,Pre Pay,CAT 100,Active,ASAD170,276,585.600001,136,216.899998,7,14.399999,193.492888,26.393615,2.121739,1.594853,2.057143,419,816.899998,1.949642,1010.392886,Med,216.899998,12.168564,26.393615,84.441482,189.441482,OK,0.187493,1
K103090,M,32,03/01/97,45.933333,1,Pre Pay,CAT 100,Active,S50,316,672.000000,26,77.400001,0,0.000000,232.313084,20.866957,2.126582,2.976923,0.000000,342,749.400001,2.191228,981.713085,Med,149.400001,13.967174,20.866958,90.560883,195.560883,OK,0.199204,1
K103310,F,29,21/01/98,33.166667,1,Pre Pay,CAT 100,Active,S50,237,417.600001,81,283.200000,45,123.000000,243.180536,22.534852,1.762025,3.496296,2.733333,363,823.800001,2.269421,1066.980537,Med,223.800001,10.069192,22.534851,95.489012,200.489012,OK,0.187903,1
K106390,M,63,03/02/99,20.566667,10,Pre Pay,CAT 100,Active,S80,348,553.800000,115,246.000000,2,19.200000,247.702575,25.758572,1.591379,2.139130,9.600000,465,819.000000,1.761290,1066.702575,Med,219.000000,11.761905,25.758571,100.069344,205.069344,OK,0.192246,1
K106650,F,69,09/01/96,57.933333,10,Pre Pay,CAT 100,Churned,ASAD90,95,586.799999,159,263.700000,6,28.200001,271.103632,32.546717,6.176842,1.658491,4.700000,260,878.700000,3.379615,1149.803632,Med,278.700000,11.678047,32.546717,113.877807,218.877807,OK,0.190361,1
K106580,M,32,22/02/99,19.933333,1,Pre Pay,CAT 100,Churned,ASAD90,125,764.399999,3,20.100000,8,15.600001,238.715098,29.122164,6.115200,6.700000,1.950000,136,800.100000,5.883088,1038.815098,Med,200.100000,14.553806,29.122165,100.736695,205.736695,OK,0.198049,1
K106630,F,38,21/05/98,29.166667,2,Pre Pay,CAT 100,Active,S50,131,513.000000,71,356.399999,4,52.200000,237.672223,33.981562,3.916031,5.019718,13.050000,206,921.599999,4.473786,1159.272222,Med,321.599999,10.566406,33.981562,105.283229,210.283229,OK,0.181392,1
K103380,M,59,03/10/97,36.833333,0,Pre Pay,CAT 100,Churned,ASAD90,263,406.800000,178,355.200000,4,30.600001,207.852679,19.515147,1.546768,1.995506,7.650000,445,792.600001,1.781124,1000.452680,Med,192.600001,10.132475,19.515148,81.870951,186.870951,OK,0.186786,1
K106880,M,35,05/12/97,34.733333,0,Pre Pay,CAT 100,Active,S80,88,591.000000,129,202.500000,13,33.000000,213.821026,27.521188,6.715909,1.569767,2.538462,230,826.500000,3.593478,1040.321026,Med,226.500000,12.150635,27.521189,91.667497,196.667497,OK,0.189045,1
K106850,M,30,05/03/98,31.733333,9,Pre Pay,CAT 100,Active,S50,97,634.800000,73,124.200000,1,1.800000,246.734914,21.456908,6.544330,1.701370,1.800000,171,760.800000,4.449123,1007.534914,Med,160.800000,13.343849,21.456909,95.477383,200.477383,OK,0.198978,1
K103420,F,35,31/01/99,20.666667,8,Pre Pay,CAT 100,Active,S80,238,518.400000,18,245.699999,20,59.400000,222.607154,25.244509,2.178151,13.650000,2.970000,276,823.499999,2.983696,1046.107153,Med,223.499999,11.295082,25.244508,92.026654,197.026654,OK,0.188343,1
K103430,M,28,18/03/96,55.633333,2,Pre Pay,CAT 100,Active,ASAD170,389,688.199999,92,154.500000,2,28.800000,244.991584,35.014621,1.769152,1.679348,14.400000,483,871.499999,1.804348,1116.491583,Med,271.499999,12.896730,35.014621,108.512096,213.512096,OK,0.191235,1
K106940,F,47,22/07/97,39.266667,2,Pre Pay,CAT 100,Active,S50,105,355.800000,17,317.700000,0,0.000000,186.283472,8.478344,3.388571,18.688235,0.000000,122,673.500000,5.520492,859.783472,Med,73.500000,10.282851,7.557895,63.442937,168.442937,OK,0.195913,1
K107120,M,30,04/08/97,38.833333,2,Pre Pay,CAT 100,Active,ASAD170,113,466.200000,96,162.300000,36,127.800000,246.486588,17.449677,4.125664,1.690625,3.550000,245,756.300000,3.086939,1002.786588,Med,156.300000,11.164221,17.449677,91.395653,196.395653,OK,0.195850,1
K103520,M,27,07/02/99,20.433333,0,Pre Pay,CAT 100,Active,ASAD170,410,730.199999,1,73.500000,62,115.800001,192.532641,41.347364,1.780976,73.500000,1.867742,473,919.500000,1.943975,1112.032641,Med,319.500000,12.941272,41.347365,99.107158,204.107158,OK,0.183544,1
K107160,M,48,19/11/99,10.933333,6,Pre Pay,CAT 100,Active,ASAD170,222,752.400000,47,93.300000,38,76.800000,232.097468,42.428416,3.389189,1.985106,2.021053,307,922.500000,3.004886,1154.597468,Med,322.500000,13.156098,42.428415,112.057655,217.057655,OK,0.187994,1
K107200,M,36,25/12/99,9.733333,1,Pre Pay,CAT 100,Active,S50,139,474.000000,110,202.200000,8,40.000000,235.754776,13.500421,3.410072,1.838182,5.000000,257,716.200000,2.786770,951.954776,Med,116.200000,11.618263,13.500422,84.226854,189.226854,OK,0.198777,1
K103610,M,32,19/08/97,38.333333,1,Pre Pay,CAT 100,Active,S80,290,655.200001,169,279.900000,8,16.799999,196.488950,41.816543,2.259310,1.656213,2.100000,467,951.900000,2.038330,1148.388950,Med,351.900000,11.883076,41.816544,100.763229,205.763229,OK,0.179176,1
K103580,M,56,16/03/98,31.366667,10,Pre Pay,CAT 100,Active,S80,440,714.000000,114,186.000000,5,7.800001,192.204061,39.598990,1.622727,1.631579,1.560000,559,907.800001,1.623971,1100.004062,Med,307.800001,12.865169,39.598989,97.260207,202.260207,OK,0.183872,1
K107250,M,68,16/07/96,51.633333,5,Pre Pay,CAT 100,Active,S80,229,780.000000,4,40.800000,3,64.200000,249.597462,39.368645,3.406114,10.200000,21.400000,236,885.000000,3.750000,1134.597462,Med,285.000000,13.813559,39.368644,114.247883,219.247883,OK,0.193238,1
K103590,M,30,17/04/98,30.300000,4,Pre Pay,CAT 100,Active,S50,442,787.800000,42,108.000000,13,31.200000,242.257958,44.139708,1.782353,2.571429,2.400000,497,927.000000,1.865191,1169.257958,Med,327.000000,13.498382,44.139709,116.817096,221.817096,OK,0.189708,1
K103790,M,42,19/05/96,53.566667,1,Pre Pay,CAT 100,Active,ASAD170,209,476.399999,15,369.300000,4,24.000000,227.817499,28.258493,2.279426,24.620000,6.000000,228,869.699999,3.814474,1097.517498,Med,269.699999,10.477751,28.258494,96.603744,201.603744,OK,0.183691,1
K107350,M,36,19/05/99,17.066667,10,Pre Pay,CAT 100,Churned,ASAD90,174,729.000000,1,42.600000,52,88.200000,276.451941,35.017705,4.189655,42.600000,1.696154,227,859.800000,3.787665,1136.251941,Med,259.800000,13.478716,35.017704,117.953286,222.953286,OK,0.196218,1
K107450,F,51,13/10/97,36.500000,0,Pre Pay,CAT 100,Active,S50,218,680.400001,37,108.599999,25,39.000000,251.225362,30.135651,3.121101,2.935135,1.560000,280,828.000000,2.957143,1079.225362,Med,228.000000,13.217391,30.135652,105.503261,210.503261,OK,0.195050,1
K107610,F,27,26/04/98,30.000000,2,Pre Pay,CAT 100,Churned,ASAD90,68,558.000000,187,324.900000,13,29.400000,222.245435,34.716545,8.205882,1.737433,2.261538,268,912.300000,3.404104,1134.545435,Med,312.300000,11.116409,34.716546,101.390176,206.390176,OK,0.181914,1
K233080,F,31,08/07/99,15.400000,2,Pre Pay,CAT 100,Churned,S50,279,498.600001,177,268.800001,2,50.500000,18.780723,24.178401,1.787097,1.518644,25.250000,458,817.900002,1.785808,836.680725,Med,217.900002,11.096100,24.178402,29.812619,134.812619,OK,0.161128,1
K107670,M,43,15/08/98,26.300000,0,Pre Pay,CAT 100,Active,S80,62,519.600000,95,291.300000,31,52.200000,246.315784,28.994042,8.380645,3.066316,1.683871,188,863.100000,4.590957,1109.415784,Med,263.100000,11.020160,28.994041,102.888776,207.888776,OK,0.187386,1
K103850,M,39,23/10/97,36.166667,7,Pre Pay,CAT 100,Active,S80,194,444.000000,81,218.099999,2,43.000000,194.556987,11.873125,2.288660,2.692593,21.500000,277,705.099999,2.545487,899.656986,Med,105.099999,11.296979,11.873125,70.240221,175.240221,OK,0.194786,1
K107740,M,27,13/11/96,47.633333,1,Pre Pay,CAT 100,Churned,ASAD170,84,723.599999,5,113.700000,28,96.000000,244.496043,42.506196,8.614286,22.740000,3.428571,117,933.299999,7.976923,1177.796042,Med,333.299999,12.753134,42.506196,115.855009,220.855009,OK,0.187515,1
K107840,F,45,20/05/97,41.366667,4,Pre Pay,CAT 100,Active,S80,66,582.600000,42,133.500000,28,82.800000,230.351722,24.449837,8.827273,3.178571,2.957143,136,798.900000,5.874265,1029.251722,Med,198.900000,12.292527,24.449837,93.555353,198.555353,OK,0.192912,1
K103900,M,41,12/02/96,56.800000,2,Pre Pay,CAT 100,Active,S80,277,636.600001,123,190.200000,0,0.000000,258.933975,29.078091,2.298195,1.546341,0.000000,400,826.800001,2.067000,1085.733976,Med,226.800001,12.699565,28.802613,106.482805,211.482805,OK,0.194783,1
K107980,M,35,16/04/96,54.666667,1,Pre Pay,CAT 100,Active,S50,134,585.600000,76,225.300000,25,52.799999,251.932226,31.064208,4.370149,2.964474,2.112000,235,863.699999,3.675319,1115.632225,Med,263.699999,11.780132,31.064208,106.643876,211.643876,OK,0.189708,1
K108050,M,46,07/07/97,39.766667,2,Pre Pay,CAT 100,Active,ASAD170,194,692.400000,129,203.699999,30,66.500000,190.496108,44.211886,3.569072,1.579070,2.216667,353,962.599999,2.726912,1153.096107,Med,362.599999,12.193019,44.211886,101.360719,206.360719,OK,0.178962,1
K104050,F,28,06/03/99,19.533333,0,Pre Pay,CAT 100,Active,S50,257,599.400000,113,250.500000,29,50.400000,237.746534,35.008316,2.332296,2.216814,1.737931,399,900.300000,2.256391,1138.046534,Med,300.300000,11.657781,35.008316,106.332276,211.332276,OK,0.185697,1
K245420,F,38,15/07/96,51.666667,0,Pre Pay,CAT 100,Active,BS110,26,627.000000,6,315.000000,13,51.499999,136.666982,44.508870,24.115385,52.500000,3.961538,45,993.499999,22.077778,1130.166981,Med,393.499999,11.311022,44.508870,85.508965,190.508965,OK,0.168567,1
K245380,F,28,13/08/96,50.700000,2,Pre Pay,CAT 100,Active,BS110,22,531.000000,43,269.399999,1,100.200000,76.052286,32.753585,24.136364,6.265116,100.200000,66,900.599999,13.645455,976.652285,Med,300.599999,10.896069,32.753584,55.569270,160.569270,OK,0.164408,1
K104040,F,40,03/08/98,26.700000,2,Pre Pay,CAT 100,Active,S50,280,651.600000,63,291.600000,9,17.400000,247.700943,42.490437,2.327143,4.628571,1.933333,352,960.600000,2.728977,1208.300943,Med,360.600000,11.783260,42.490437,116.800720,221.800720,OK,0.183564,1
K108150,M,64,10/07/97,39.666667,2,Pre Pay,CAT 100,Active,S50,148,444.600000,18,290.400000,5,13.500000,188.990826,16.245720,3.004054,16.133333,2.700000,171,748.500000,4.377193,937.490826,Med,148.500000,10.939880,16.245721,72.942969,177.942969,OK,0.189808,1
K245140,F,24,03/11/96,47.966667,0,Pre Pay,CAT 100,Active,BS110,29,477.600001,29,73.800000,7,172.500000,171.945686,14.369422,16.468966,2.544828,24.642857,65,723.900001,11.136923,895.845687,Med,123.900001,11.597596,14.369422,65.953128,170.953128,OK,0.190829,1
K165800,M,19,28/08/99,13.700000,0,Pre Pay,CAT 100,Churned,S50,232,484.799999,48,360.600000,8,16.500001,187.624615,27.826304,2.089655,7.512500,2.062500,288,861.900000,2.992708,1049.524615,Med,261.900000,10.624782,27.826305,84.113690,189.113690,OK,0.180190,1
K165980,F,23,28/04/98,29.933333,2,Pre Pay,CAT 100,Churned,S50,324,512.400000,40,300.300001,15,32.000000,239.150612,27.078645,1.581481,7.507500,2.133333,379,844.700001,2.228760,1083.850613,Med,244.700001,11.066059,27.078646,98.823830,203.823830,OK,0.188055,1
K108190,M,43,11/06/98,28.466667,2,Pre Pay,CAT 100,Active,ASAD170,185,651.000000,129,315.000000,11,17.000000,310.243044,44.514495,3.518919,2.441860,1.545455,325,983.000000,3.024615,1293.243044,Med,383.000000,11.622584,44.514496,137.587410,242.587410,OK,0.187581,1
K166050,F,13,10/06/99,16.333333,0,Pre Pay,CAT 100,Churned,ASAD90,289,618.000000,159,337.799999,2,8.400000,290.316686,41.553247,2.138408,2.124528,4.200000,450,964.199999,2.142667,1254.516685,Med,364.199999,11.409459,41.553248,128.648254,233.648254,OK,0.186246,1
K166260,F,20,06/08/97,38.766667,1,Pre Pay,CAT 100,Active,ASAD170,372,663.000000,11,24.300000,5,119.400001,196.122318,27.322989,1.782258,2.209091,23.880000,388,806.700001,2.079124,1002.822319,Med,206.700001,13.218669,27.322988,86.159684,191.159684,OK,0.190622,1
K171150,M,15,16/12/97,34.366667,1,Pre Pay,CAT 100,Churned,S50,11,504.000000,45,471.300000,3,9.000000,298.579609,38.892658,45.818182,10.473333,3.000000,59,984.300000,16.683051,1282.879609,Med,384.300000,10.120390,38.892659,128.466542,233.466542,OK,0.181986,1
K166380,F,15,22/05/96,53.466667,7,Pre Pay,CAT 100,Churned,ASAD90,213,483.600000,167,330.900000,13,39.000000,263.148742,27.038514,2.270423,1.981437,3.000000,393,853.500000,2.171756,1116.648742,Med,253.500000,10.666081,27.038515,105.983138,210.983138,OK,0.188943,1
K166520,F,23,21/03/99,19.033333,11,Pre Pay,CAT 100,Churned,ASAD90,382,693.600000,123,234.600000,6,11.000000,185.590816,42.009949,1.815707,1.907317,1.833333,511,939.200000,1.837965,1124.790816,Med,339.200000,12.385009,42.009949,97.687194,202.687194,OK,0.180200,1
K166400,F,15,03/10/96,49.000000,0,Pre Pay,CAT 100,Churned,ASAD90,254,459.000000,167,302.100001,33,108.600001,219.654039,27.718908,1.807087,1.808982,3.290909,454,869.700002,1.915639,1089.354041,Med,269.700002,10.277682,27.718908,93.615120,198.615120,OK,0.182324,1
K232970,F,33,17/07/99,15.100000,1,Pre Pay,CAT 100,Churned,BS110,174,371.400000,50,106.200000,40,72.000000,88.970803,0.000000,2.134483,2.124000,1.800000,264,549.600000,2.081818,638.570803,Med,-50.400000,11.757642,0.000000,26.691241,131.691241,OK,0.206228,1
K235300,M,65,27/09/99,12.700000,1,Pre Pay,CAT 100,Churned,BS110,96,318.000000,85,202.500000,10,24.600000,82.181724,0.000000,3.312500,2.382353,2.460000,191,545.100000,2.853927,627.281724,Med,-54.900000,10.833792,0.000000,24.654517,129.654517,OK,0.206693,1
K234330,M,21,17/07/99,15.100000,2,Pre Pay,CAT 100,Churned,BS110,98,409.800000,167,262.500001,37,57.600000,87.894733,13.788194,4.181633,1.571856,1.556757,302,729.900001,2.416887,817.794734,Med,129.900001,10.614468,13.788194,40.156614,145.156614,OK,0.177498,1
K108920,M,30,23/09/96,49.333333,2,Pre Pay,CAT 100,Active,S50,198,717.000000,23,85.200000,0,0.000000,197.501508,30.611743,3.621212,3.704348,0.000000,221,802.200000,3.629864,999.701508,Med,202.200000,13.937921,28.182476,87.432928,192.432928,OK,0.192490,1
K233150,M,50,24/09/99,12.800000,8,Pre Pay,CAT 100,Churned,BS110,256,417.000000,107,168.600000,6,46.000000,52.630185,3.666320,1.628906,1.575701,7.666667,369,631.600000,1.711653,684.230185,Med,31.600000,11.602280,3.666320,19.455376,124.455376,OK,0.181891,1
K233240,F,22,10/07/99,15.333333,10,Pre Pay,CAT 100,Churned,S50,295,482.399999,52,141.600001,6,16.800000,47.788609,5.111462,1.635254,2.723077,2.800000,353,640.800000,1.815297,688.588609,Med,40.800000,12.528090,5.111461,19.448043,124.448043,OK,0.180729,1
K233300,F,14,03/08/99,14.533333,1,Pre Pay,CAT 100,Churned,S50,159,372.600001,77,231.299999,7,13.200000,141.991523,1.887484,2.343396,3.003896,1.885714,243,617.100000,2.539506,759.091523,Med,17.100000,11.037919,1.887484,44.484941,149.484941,OK,0.196926,1
K233510,M,45,21/08/99,13.933333,2,Pre Pay,CAT 100,Churned,S50,271,505.800000,48,165.300000,32,85.200000,167.043917,18.268067,1.866421,3.443750,2.662500,351,756.300000,2.154701,923.343917,Med,156.300000,11.687822,18.268066,68.381241,173.381241,OK,0.187775,1
K233580,M,16,25/07/99,14.833333,2,Pre Pay,CAT 100,Churned,S50,234,367.199999,0,0.000000,0,0.000000,151.917908,0.000000,1.569231,0.000000,0.000000,234,367.199999,1.569231,519.117907,MedLow,-232.800001,15.000000,0.000000,45.575372,150.575372,OK,0.290060,1
K233840,F,16,19/07/99,15.033333,6,Pre Pay,CAT 100,Churned,BS110,236,676.800001,15,114.000000,2,36.600000,38.955963,29.970957,2.867797,7.600000,18.300000,253,827.400001,3.270356,866.355964,Med,227.400001,13.179840,29.970957,41.657746,146.657746,OK,0.169281,1
K166890,M,25,03/01/97,45.933333,11,Pre Pay,CAT 100,Churned,ASAD90,276,677.400000,28,86.700000,7,35.000000,205.654261,26.832778,2.454348,3.096429,5.000000,311,799.100000,2.569453,1004.754261,Med,199.100000,13.477037,26.832780,88.529058,193.529058,OK,0.192613,1
K233850,M,12,17/09/99,13.033333,2,Pre Pay,CAT 100,Active,BS110,151,297.000000,93,147.900000,12,90.600000,155.271965,0.000000,1.966887,1.590323,7.550000,256,535.500000,2.091797,690.771965,Med,-64.500000,10.546218,0.000000,46.581590,151.581590,OK,0.219438,1
K234060,M,32,11/09/99,13.233333,2,Pre Pay,CAT 100,Churned,BS110,153,603.000000,34,88.199999,8,51.600000,121.884864,18.732407,3.941176,2.594118,6.450000,195,742.799999,3.809231,864.684863,Med,142.799999,13.117932,18.732407,55.297866,160.297866,OK,0.185383,1
K166990,F,14,16/12/97,34.366667,9,Pre Pay,CAT 100,Churned,ASAD90,235,439.200000,143,224.700000,14,34.200000,198.151376,11.076825,1.868936,1.571329,2.442857,392,698.100000,1.780867,896.251376,Med,98.100000,11.291362,11.076826,70.522239,175.522239,OK,0.195840,1
K234270,M,24,18/09/99,13.000000,2,Pre Pay,CAT 100,Active,BS110,41,302.400000,98,201.000000,48,78.600000,81.643232,0.000000,7.375610,2.051020,1.637500,187,582.000000,3.112299,663.643232,Med,-18.000000,10.195876,0.000000,24.492970,129.492970,OK,0.195124,1
K167440,F,17,31/10/97,35.900000,3,Pre Pay,CAT 100,Churned,ASAD90,126,339.599999,128,198.900001,10,43.000000,180.504580,0.000000,2.695238,1.553906,4.300000,264,581.500000,2.202652,762.004580,Med,-18.500000,10.840069,0.000000,54.151374,159.151374,OK,0.208859,1
K234490,M,40,02/08/99,14.566667,0,Pre Pay,CAT 100,Churned,BS110,38,361.800000,2,87.300000,14,66.599999,77.904899,0.000000,9.521053,43.650000,4.757143,54,515.699999,9.550000,593.604898,Med,-84.300001,12.015707,0.000000,23.371470,128.371470,OK,0.216257,1
