고객ID,성별,연령,개시일,서비스기간,단선횟수,지불방법,요금제,이탈여부,핸드셋,주간통화횟수,주간통화시간_분,야간통화횟수,야간통화시간_분,주말통화횟수,주말통화시간_분,국제통화시간_분,국내통화요금_분,평균주간통화시간,평균야간통화시간,평균주말통화시간,국내통화횟수,국내통화시간_분,평균국내통화시간,총통화시간_분
"K101060","남",50,"02/05/97",41.966667,2,"선불","Play 100","이탈","SOP10",9,9.701091,74,73.697000,2,4.694076,14.951741,0,1.077899,0.995905,2.347038,85,88.092167,1.036378,103.043908
"K101090","남",37,"28/04/97",42.100000,5,"선불","Play 100","이탈","SOP20",46,75.599999,21,59.400001,11,34.200000,52.143364,0,1.643478,2.828571,3.109091,78,169.200000,2.169231,221.343364
"K101110","남",38,"03/10/96",49.000000,0,"선불","Play 100","이탈","SOP10",10,23.201527,12,36.477954,3,12.631942,8.300664,0,2.320153,3.039829,4.210647,25,72.311423,2.892457,80.612087
"K101140","남",28,"22/12/99",9.833333,0,"선불","Play 100","이탈","SOP10",0,0.000000,1,1.585148,0,0.000000,9.925912,0,0.000000,1.585148,0.000000,1,1.585148,1.585148,11.511060
"K101240","남",26,"26/10/97",36.066667,2,"선불","Play 100","이탈","SOP20",25,61.200000,11,32.700001,18,31.000000,25.137501,0,2.448000,2.972727,1.722222,54,124.900001,2.312963,150.037502
"K101290","남",27,"26/04/97",42.166667,6,"선불","Play 100","이탈","SOP20",23,61.199999,15,42.300000,5,54.000000,51.058177,0,2.660870,2.820000,10.800000,43,157.499999,3.662791,208.558176
"K101400","남",26,"27/12/99",9.666667,1,"선불","Play 100","이탈","SOP10",21,42.580994,21,36.656680,23,34.249929,0.832065,0,2.027666,1.745556,1.489127,65,113.487603,1.745963,114.319668
"K101410","남",26,"05/04/97",42.866667,1,"선불","Play 100","이탈","SOP10",25,73.200000,9,33.000000,0,0.000000,31.124080,0,2.928000,3.666667,0.000000,34,106.200000,3.123529,137.324080
"K101490","남",27,"14/10/96",48.633333,2,"선불","Play 100","이탈","SOP10",25,14.743988,11,21.914010,9,15.989485,6.567289,0,0.589760,1.992183,1.776609,45,52.647483,1.169944,59.214772
"K101500","남",26,"11/05/99",17.333333,1,"선불","Play 100","이탈","SOP20",17,42.000000,5,64.800000,0,0.000000,18.772276,0,2.470588,12.960000,0.000000,22,106.800000,4.854545,125.572276
"K101520","남",45,"17/08/96",50.566667,1,"선불","Play 100","이탈","SOP10",28,46.800001,39,69.900001,24,36.600000,30.348459,0,1.671429,1.792308,1.525000,91,153.300002,1.684615,183.648461
"K101580","남",25,"05/07/96",52.000000,1,"선불","Play 100","이탈","SOP10",34,64.800001,14,44.700000,1,56.500000,37.600542,0,1.905882,3.192857,56.500000,49,166.000001,3.387755,203.600543
"K101640","남",31,"20/09/97",37.266667,1,"선불","Play 100","이탈","SOP10",14,44.399999,37,75.600001,5,21.600001,13.637498,0,3.171428,2.043243,4.320000,56,141.600001,2.528571,155.237499
"K101690","남",33,"01/08/98",26.766667,1,"선불","Play 100","이탈","SOP20",1,36.931072,10,48.495346,3,25.366797,27.292723,0,36.931072,4.849535,8.455599,14,110.793215,7.913801,138.085938
"K101700","남",28,"23/02/99",19.900000,9,"선불","Play 100","이탈","SOP10",8,36.000000,5,28.500000,0,0.000000,14.263206,0,4.500000,5.700000,0.000000,13,64.500000,4.961538,78.763206
"K101740","남",35,"01/06/96",53.133333,2,"선불","Play 100","이탈","SOP20",3,20.400000,3,11.700000,36,56.400001,20.437370,0,6.800000,3.900000,1.566667,42,88.500001,2.107143,108.937371
"K101770","남",30,"06/05/99",17.500000,0,"선불","Play 100","이탈","SOP20",2,67.800000,6,30.600000,8,75.000000,42.715277,0,33.900000,5.100000,9.375000,16,173.400000,10.837500,216.115277
"K101800","남",40,"21/07/96",51.466667,2,"선불","Play 100","이탈","SOP10",7,25.008754,24,39.726294,2,2.950885,1.413106,0,3.572679,1.655262,1.475443,33,67.685933,2.051089,69.099039
"K102070","여",68,"01/06/97",40.966667,1,"선불","CAT 50","이탈","SOP10",32,75.599999,8,38.400001,5,13.200000,3.328153,0,2.362500,4.800000,2.640000,45,127.200000,2.826667,130.528153
"K102120","남",75,"09/08/98",26.500000,10,"선불","CAT 50","이탈","SOP10",15,33.607177,17,19.380827,6,10.721309,6.000462,0,2.240478,1.140049,1.786885,38,63.709313,1.676561,69.709775
"K102360","여",62,"25/06/99",15.833333,2,"선불","Play 100","이탈","SOP10",26,41.399999,14,46.499999,16,34.000000,7.169590,0,1.592308,3.321428,2.125000,56,121.899998,2.176786,129.069588
"K102610","여",34,"27/09/98",24.866667,2,"선불","CAT 100","이탈","ASAD90",337,580.800000,11,92.400000,29,61.800000,216.893750,17,1.723442,8.400000,2.131034,377,735.000000,1.949602,951.893750
"K102630","여",35,"02/10/96",49.033333,1,"선불","CAT 100","유지","ASAD170",396,611.399999,19,41.399999,28,48.600001,215.144447,13,1.543939,2.178947,1.735714,443,701.399999,1.583296,916.544446
"K102820","여",31,"17/11/96",47.500000,0,"선불","CAT 100","이탈","ASAD90",345,714.000000,14,63.000000,1,3.000000,189.835150,25,2.069565,4.500000,3.000000,360,780.000000,2.166667,969.835150
"K103000","여",27,"23/06/98",28.066667,5,"선불","CAT 100","유지","S80",282,453.000000,19,268.200001,16,81.000000,186.642050,21,1.606383,14.115790,5.062500,317,802.200001,2.530599,988.842051
"K103040","남",64,"22/01/97",45.300000,1,"선불","CAT 100","유지","ASAD170",276,585.600001,136,216.899998,7,14.399999,193.492888,26,2.121739,1.594853,2.057143,419,816.899998,1.949642,1010.392886
"K103130","여",49,"14/04/97",42.566667,7,"선불","CAT 100","유지","S80",249,529.800000,164,288.300000,24,77.400001,282.438200,32,2.127711,1.757927,3.225000,437,895.500001,2.049199,1177.938201
"K103210","남",32,"15/11/98",23.233333,2,"선불","CAT 100","이탈","ASAD90",480,842.400001,4,22.800000,0,0.000000,259.089482,39,1.755000,5.700000,0.000000,484,865.200001,1.787603,1124.289483
"K103360","남",45,"12/02/97",44.600000,0,"선불","CAT 100","이탈","ASAD90",298,646.200001,122,189.599999,51,85.200001,302.538374,38,2.168456,1.554098,1.670588,471,921.000001,1.955414,1223.538375
"K103540","여",40,"05/04/97",42.866667,11,"선불","CAT 100","유지","S50",303,670.200000,48,138.299999,1,51.500000,204.273702,33,2.211881,2.881250,51.500000,352,859.999999,2.443182,1064.273701
"K103600","남",37,"17/02/99",20.100000,0,"선불","CAT 100","이탈","ASAD170",328,532.800000,54,172.200000,1,2.400000,220.248013,13,1.624390,3.188889,2.400000,383,707.400000,1.846997,927.648013
"K103940","여",42,"04/04/96",55.066667,10,"선불","CAT 100","유지","ASAD170",216,501.000000,8,271.200000,14,24.000000,231.168689,22,2.319444,33.900000,1.714286,238,796.200000,3.345378,1027.368689
"K103970","여",48,"17/08/96",50.566667,2,"선불","CAT 100","유지","S80",307,558.600002,2,178.800000,25,47.399998,189.928451,22,1.819544,89.400000,1.896000,334,784.800000,2.349701,974.728451
"K104010","여",26,"15/09/98",25.266667,0,"선불","CAT 100","유지","ASAD170",326,592.800000,84,194.700000,4,33.500000,191.454143,27,1.818405,2.317857,8.375000,414,821.000000,1.983092,1012.454143
"K104170","여",34,"15/12/99",10.066667,1,"선불","CAT 100","유지","S80",191,450.600000,49,113.400000,15,67.799999,180.726371,3,2.359162,2.314286,4.520000,255,631.799999,2.477647,812.526370
"K104200","남",35,"09/04/97",42.733333,11,"선불","CAT 100","유지","S80",170,402.000000,146,223.500001,1,4.000000,201.661507,3,2.364706,1.530822,4.000000,317,629.500001,1.985804,831.161508
"K104270","남",47,"11/01/96",57.866667,2,"선불","CAT 100","유지","S50",300,721.200001,55,101.100000,13,33.000000,207.171162,34,2.404000,1.838182,2.538462,368,855.300001,2.324185,1062.471163
"K104300","여",27,"08/12/99",10.300000,0,"선불","CAT 100","유지","S50",221,539.400000,104,185.099999,3,13.800000,181.701292,17,2.440724,1.779808,4.600000,328,738.299999,2.250915,920.001291
"K104360","남",35,"10/07/96",51.833333,2,"선불","CAT 100","유지","ASAD170",294,544.200000,21,169.800000,13,63.600000,195.406439,21,1.851020,8.085714,4.892308,328,777.600000,2.370732,973.006439
"K104380","여",32,"31/07/99",14.633333,8,"선불","CAT 100","유지","S80",337,622.800000,55,167.100000,1,5.500000,220.394521,25,1.848071,3.038182,5.500000,393,795.400000,2.023919,1015.794521
"K104440","여",38,"08/06/97",40.733333,0,"선불","CAT 100","유지","S80",394,651.000000,1,185.400000,33,98.499999,215.953426,40,1.652284,185.400000,2.984848,428,934.899999,2.184346,1150.853425
"K104860","여",45,"17/03/98",31.333333,2,"선불","CAT 100","유지","S50",209,533.400000,150,263.699999,26,131.400000,277.472932,35,2.552153,1.758000,5.053846,385,928.499999,2.411688,1205.972931
"K104960","남",30,"28/11/97",34.966667,2,"선불","CAT 100","유지","S80",206,531.000000,47,84.000000,78,151.800000,228.455477,19,2.577670,1.787234,1.946154,331,766.800000,2.316616,995.255477
"K105060","남",52,"13/11/99",11.133333,6,"선불","CAT 100","유지","ASAD170",239,454.800000,24,82.800000,5,100.000000,194.656652,4,1.902929,3.450000,20.000000,268,637.600000,2.379104,832.256652
"K105120","여",41,"25/10/98",23.933333,2,"선불","CAT 100","유지","S50",282,471.600000,31,225.300000,23,35.500001,209.473494,15,1.672340,7.267742,1.543478,336,732.400001,2.179762,941.873495
"K105360","여",36,"05/11/98",23.566667,2,"선불","CAT 100","이탈","ASAD90",206,553.200000,39,104.700000,12,93.500000,207.786512,18,2.685437,2.684615,7.791667,257,751.400000,2.923735,959.186512
"K105380","남",54,"02/05/99",17.633333,2,"선불","CAT 100","유지","ASAD170",165,451.800000,114,340.200000,4,60.000000,182.706379,25,2.738182,2.984211,15.000000,283,852.000000,3.010601,1034.706379
"K105390","여",51,"23/10/97",36.166667,7,"선불","CAT 100","유지","ASAD170",197,535.199999,53,136.500001,6,73.800001,238.942693,17,2.716751,2.575472,12.300000,256,745.500001,2.912109,984.442694
"K105460","남",39,"04/03/99",19.600000,2,"선불","CAT 100","이탈","ASAD90",198,541.800000,10,108.000000,4,61.800000,202.148303,14,2.736364,10.800000,15.450000,212,711.600000,3.356604,913.748303
"K105540","남",26,"18/09/98",25.166667,9,"선불","CAT 100","유지","S50",190,367.800000,42,318.600000,6,17.500000,229.288331,10,1.935789,7.585714,2.916667,238,703.900000,2.957563,933.188331
"K105740","남",26,"27/06/97",40.100000,1,"선불","CAT 100","이탈","ASAD90",207,583.799999,81,267.299999,4,66.000000,226.010364,36,2.820290,3.300000,16.500000,292,917.099998,3.140753,1143.110362
"K105800","남",30,"04/04/97",42.900000,0,"선불","CAT 100","유지","ASAD170",154,438.000000,47,214.200000,43,66.600000,210.144406,13,2.844156,4.557447,1.548837,244,718.800000,2.945902,928.944406
"K105840","남",31,"19/02/97",44.366667,0,"선불","CAT 100","이탈","ASAD90",175,500.400001,108,310.199999,2,26.000000,181.122918,25,2.859429,2.872222,13.000000,285,836.600000,2.935439,1017.722918
"K105850","여",33,"13/10/98",24.333333,1,"선불","CAT 100","유지","ASAD170",125,357.000000,54,152.400000,11,38.400000,180.437286,0,2.856000,2.822222,3.490909,190,547.800000,2.883158,728.237286
"K105930","남",31,"26/07/96",51.300000,11,"선불","CAT 100","유지","S50",442,700.200000,72,124.500000,35,63.500001,185.263171,37,1.584163,1.729167,1.814286,549,888.200001,1.617851,1073.463172
"K105950","남",29,"31/10/97",35.900000,0,"선불","CAT 100","유지","ASAD170",330,648.000000,33,68.100000,1,11.500000,234.531592,17,1.963636,2.063636,11.500000,364,727.600000,1.998901,962.131592
"K106170","남",27,"26/11/98",22.866667,2,"선불","CAT 100","유지","S80",341,582.000000,2,20.400000,0,0.000000,185.207592,1,1.706745,10.200000,0.000000,343,602.400000,1.756268,787.607592
"K106350","남",36,"10/04/96",54.866667,2,"선불","CAT 100","유지","ASAD170",522,801.599999,36,83.099999,0,0.000000,283.728836,43,1.535632,2.308333,0.000000,558,884.699998,1.585484,1168.428834
"K106380","남",42,"20/09/98",25.100000,1,"선불","CAT 100","이탈","S50",410,652.200000,18,102.599999,69,129.599999,232.300547,35,1.590732,5.700000,1.878261,497,884.399998,1.779477,1116.700545
"K106390","남",63,"03/02/99",20.566667,10,"선불","CAT 100","유지","S80",348,553.800000,115,246.000000,2,19.200000,247.702575,25,1.591379,2.139130,9.600000,465,819.000000,1.761290,1066.702575
"K106410","여",27,"08/07/96",51.900000,1,"선불","CAT 100","유지","ASAD170",256,772.800000,27,70.800000,16,30.000000,194.455856,37,3.018750,2.622222,1.875000,299,873.600000,2.921739,1068.055856
"K106590","여",37,"25/11/97",35.066667,8,"선불","CAT 100","이탈","ASAD90",159,620.400001,142,214.200000,3,56.400000,248.947604,34,3.901887,1.508451,18.800000,304,891.000001,2.930921,1139.947605
"K106810","여",46,"12/11/99",11.166667,2,"선불","CAT 100","유지","ASAD170",219,676.800000,53,146.400000,26,40.200000,237.871456,33,3.090411,2.762264,1.546154,298,863.400000,2.897315,1101.271456
"K106980","남",41,"17/03/96",55.666667,10,"선불","CAT 100","이탈","ASAD90",84,571.799999,20,256.200001,2,6.000000,204.145088,27,6.807143,12.810000,3.000000,106,834.000000,7.867925,1038.145088
"K107000","여",52,"21/03/97",43.366667,0,"선불","CAT 100","유지","S80",103,419.400000,55,303.300000,52,88.500002,196.586882,21,4.071845,5.514545,1.701923,210,811.200002,3.862857,1007.786884
"K107100","남",47,"22/12/98",22.000000,2,"선불","CAT 100","이탈","ASAD90",167,500.399999,135,245.100000,30,142.200000,205.399114,30,2.996407,1.815556,4.740000,332,887.699999,2.673795,1093.099113
"K107130","남",52,"11/11/97",35.533333,6,"선불","CAT 100","이탈","ASAD90",66,472.800001,152,281.100001,28,53.000000,191.286602,22,7.163636,1.849342,1.892857,246,806.900002,3.280081,998.186604
"K107160","남",48,"19/11/99",10.933333,6,"선불","CAT 100","유지","ASAD170",222,752.400000,47,93.300000,38,76.800000,232.097468,42,3.389189,1.985106,2.021053,307,922.500000,3.004886,1154.597468
"K107260","여",41,"01/01/97",46.000000,0,"선불","CAT 100","유지","S50",70,517.800001,67,240.000000,15,48.000000,214.138393,23,7.397143,3.582090,3.200000,152,805.800001,5.301316,1019.938394
"K107440","여",31,"11/02/97",44.633333,1,"선불","CAT 100","유지","S80",119,502.200000,205,392.100000,4,16.800000,202.656625,32,4.220168,1.912683,4.200000,328,911.100000,2.777744,1113.756625
"K107470","여",28,"01/06/98",28.800000,1,"선불","CAT 100","유지","S80",52,648.600000,89,159.300000,12,21.000000,233.600214,29,12.473077,1.789888,1.750000,153,828.900000,5.417647,1062.500214
"K107500","남",56,"19/06/98",28.200000,1,"선불","CAT 100","유지","S80",116,492.000000,270,438.000000,35,53.500002,271.999689,38,4.241379,1.622222,1.528571,421,983.500002,2.336105,1255.499691
"K107510","여",39,"28/04/99",17.766667,0,"선불","CAT 100","유지","S50",115,402.599999,66,110.099998,10,59.400001,181.590719,0,3.500870,1.668182,5.940000,191,572.099998,2.995288,753.690717
"K107630","남",36,"04/07/99",15.533333,1,"선불","CAT 100","유지","S80",145,619.200000,213,326.699999,16,39.600001,312.163524,43,4.270345,1.533803,2.475000,374,985.500000,2.635027,1297.663524
"K107730","남",42,"04/11/98",23.600000,0,"선불","CAT 100","유지","S50",100,433.200001,117,311.699999,28,70.200001,217.430946,22,4.332000,2.664103,2.507143,245,815.100001,3.326939,1032.530947
"K107780","여",39,"25/06/96",52.333333,2,"선불","CAT 100","유지","S80",73,642.600000,12,192.600000,14,28.199999,192.055184,32,8.802740,16.050000,2.014286,99,863.399999,8.721212,1055.455183
"K107790","남",55,"21/03/98",31.200000,2,"선불","CAT 100","이탈","ASAD90",125,436.200000,3,191.700000,41,76.800000,212.423810,11,3.489600,63.900000,1.873171,169,704.700000,4.169822,917.123810
"K107920","여",47,"09/04/98",30.566667,2,"선불","CAT 100","유지","S50",72,661.799999,105,238.200001,6,42.000000,236.159490,41,9.191667,2.268571,7.000000,183,942.000000,5.147541,1178.159490
"K108010","여",33,"07/09/97",37.700000,5,"선불","CAT 100","유지","S50",53,510.000000,98,271.800000,2,32.500000,223.203986,24,9.622642,2.773469,16.250000,153,814.300000,5.322222,1037.503986
"K108030","남",42,"14/11/97",35.433333,2,"선불","CAT 100","유지","ASAD170",61,596.400000,29,252.900001,21,92.500002,256.131864,38,9.777049,8.720690,4.404762,111,941.800003,8.484685,1197.931867
"K108140","여",30,"13/08/98",26.366667,1,"선불","CAT 100","유지","S50",143,504.000000,154,237.300001,24,39.000000,183.031990,20,3.524476,1.540909,1.625000,321,780.300001,2.430841,963.331991
"K108350","남",26,"24/06/99",15.866667,2,"선불","CAT 100","유지","ASAD170",55,624.000000,77,234.600000,9,61.200000,213.614125,37,11.345455,3.046753,6.800000,141,919.800000,6.523404,1133.414125
"K108500","여",39,"16/10/98",24.233333,10,"선불","CAT 100","유지","S80",85,400.200001,44,211.200001,7,36.500000,193.057274,5,4.708235,4.800000,5.214286,136,647.900002,4.763971,840.957276
"K108830","남",53,"16/11/99",11.033333,2,"선불","CAT 100","이탈","ASAD90",33,484.800001,178,303.000000,12,23.000000,240.853904,23,14.690909,1.702247,1.916667,223,810.800001,3.635874,1051.653905
"K108970","남",29,"16/04/96",54.666667,0,"선불","CAT 100","유지","S80",33,520.199999,100,191.699999,16,71.000000,188.293818,21,15.763636,1.917000,4.437500,149,782.899998,5.254362,971.193816
"K108980","남",42,"13/01/98",33.433333,0,"선불","CAT 100","이탈","ASAD90",149,718.800000,1,57.900000,1,18.000000,208.443405,27,4.824161,57.900000,18.000000,151,794.700000,5.262914,1003.143405
"K109000","여",40,"03/11/97",35.800000,1,"선불","CAT 100","유지","ASAD170",155,495.000000,131,345.300000,11,51.000000,228.682452,30,3.193548,2.635878,4.636364,297,891.300000,3.001010,1119.982452
"K109200","남",36,"19/02/97",44.366667,2,"선불","CAT 100","이탈","ASAD90",42,744.000000,36,67.500001,3,9.600000,265.116808,31,17.714286,1.875000,3.200000,81,821.100001,10.137037,1086.216809
"K109280","남",40,"02/10/99",12.533333,1,"선불","CAT 100","유지","S80",148,540.600000,126,416.100000,15,33.600000,260.226432,40,3.652703,3.302381,2.240000,289,990.300000,3.426644,1250.526432
"K109340","남",29,"18/08/97",38.366667,1,"선불","CAT 100","유지","S80",95,475.199999,93,335.700000,19,40.199999,205.596482,26,5.002105,3.609677,2.115789,207,851.099998,4.111594,1056.696480
"K109350","남",39,"21/11/96",47.366667,0,"선불","CAT 100","이탈","ASAD90",25,484.799999,179,293.400001,6,39.500000,246.988473,23,19.392000,1.639106,6.583333,210,817.700000,3.893810,1064.688473
"K109390","남",26,"13/11/97",35.466667,0,"선불","CAT 100","유지","ASAD170",111,554.399999,120,299.100000,24,46.200001,279.223035,33,4.994595,2.492500,1.925000,255,899.700000,3.528235,1178.923035
"K109470","여",52,"18/03/96",55.633333,0,"선불","CAT 100","유지","ASAD170",76,383.400000,132,245.100000,22,56.400000,191.659548,8,5.044737,1.856818,2.563636,230,684.900000,2.977826,876.559548
"K109510","남",26,"21/05/99",17.000000,4,"선불","CAT 100","유지","S80",22,480.600000,48,376.800000,40,75.000000,215.470067,33,21.845455,7.850000,1.875000,110,932.400000,8.476364,1147.870067
"K109650","남",40,"07/04/97",42.800000,5,"선불","CAT 100","유지","ASAD170",122,625.799999,7,43.200001,0,0.000000,181.901864,16,5.129508,6.171429,0.000000,129,669.000000,5.186047,850.901864
"K109980","남",36,"03/08/99",14.533333,2,"선불","CAT 100","유지","S50",13,496.800000,123,213.600000,19,40.000000,199.363145,17,38.215385,1.736585,2.105263,155,750.400000,4.841290,949.763145
"K109990","남",28,"08/04/97",42.766667,1,"선불","CAT 100","유지","S80",13,534.600000,11,117.000000,1,29.000000,190.531461,10,41.123077,10.636364,29.000000,25,680.600000,27.224000,871.131461
"K110030","남",26,"18/05/99",17.100000,0,"선불","CAT 100","유지","S50",140,526.800000,40,165.600001,71,110.499999,195.174020,23,3.762857,4.140000,1.556338,251,802.900000,3.198805,998.074020
"K110110","남",26,"22/10/98",24.033333,0,"선불","CAT 100","유지","S50",217,642.600000,139,258.000000,3,9.600000,294.434836,37,2.961290,1.856115,3.200000,359,910.200000,2.535376,1204.634836
"K110180","여",55,"19/04/99",18.066667,1,"선불","CAT 100","이탈","ASAD90",162,528.599999,50,199.200000,21,34.499999,216.865489,19,3.262963,3.984000,1.642857,233,762.299998,3.271674,979.165487
"K110200","여",30,"16/02/96",56.666667,1,"선불","CAT 100","유지","S50",191,564.000000,121,215.100001,17,81.000000,266.066644,30,2.952880,1.777686,4.764706,329,860.100001,2.614286,1126.166645
"K110240","남",47,"27/06/99",15.766667,2,"선불","CAT 100","유지","S50",132,433.199999,135,246.600001,1,12.000000,205.978288,10,3.281818,1.826667,12.000000,268,691.800000,2.581343,897.778288
"K110720","여",27,"27/06/98",27.933333,2,"선불","CAT 100","유지","S50",2,473.400000,39,276.600000,3,85.800000,194.383956,25,236.700000,7.092308,28.600000,44,835.800000,18.995455,1030.183956
"K110890","남",35,"23/10/97",36.166667,1,"선불","CAT 200","유지","ASAD170",597,1026.000000,68,255.300001,0,0.000000,419.011826,7,1.718593,3.754412,0.000000,665,1281.300001,1.926767,1700.311827
"K110940","남",50,"01/03/96",56.200000,2,"선불","CAT 200","유지","ASAD170",608,1045.200000,5,354.299999,25,65.500000,445.665008,22,1.719079,70.860000,2.620000,638,1464.999999,2.296238,1910.665007
"K110950","여",53,"17/12/99",10.000000,0,"선불","CAT 200","유지","S50",1168,2376.000000,96,418.200001,11,49.799999,514.271267,150,2.034247,4.356250,4.527273,1275,2844.000000,2.230588,3358.271267
"K111150","여",34,"28/11/98",22.800000,2,"선불","CAT 200","유지","ASAD170",1430,2352.000000,215,323.700000,37,67.200001,550.630038,143,1.644755,1.505581,1.816216,1682,2742.900001,1.630737,3293.530039
"K111170","남",46,"25/03/96",55.400000,0,"선불","CAT 200","이탈","ASAD170",515,886.200000,126,244.800000,23,93.600000,217.654178,2,1.720777,1.942857,4.069565,664,1224.600000,1.844277,1442.254178
"K111260","여",65,"04/08/98",26.666667,1,"선불","CAT 200","유지","S50",926,2221.800000,142,411.900000,12,32.000000,646.814000,134,2.399352,2.900704,2.666667,1080,2665.700000,2.468241,3312.514000
"K111580","남",26,"31/10/99",11.566667,11,"선불","CAT 200","유지","S50",514,886.800001,89,836.399999,1,48.500000,580.004562,42,1.725292,9.397753,48.500000,604,1771.700000,2.933278,2351.704562
"K111700","여",30,"09/02/96",56.900000,1,"선불","CAT 200","이탈","ASAD90",910,1452.600000,65,334.500001,0,0.000000,249.525343,53,1.596264,5.146154,0.000000,975,1787.100001,1.832923,2036.625344
"K111710","여",32,"24/05/96",53.400000,0,"선불","CAT 200","유지","S80",577,1185.000000,22,324.899999,4,30.600000,205.769371,30,2.053726,14.768182,7.650000,603,1540.499999,2.554726,1746.269370
"K111770","남",27,"12/11/98",23.333333,1,"선불","CAT 200","유지","S50",983,1613.399999,129,409.800000,4,82.800000,191.757383,80,1.641302,3.176744,20.700000,1116,2105.999999,1.887097,2297.757382
"K111840","남",60,"27/01/97",45.133333,3,"선불","CAT 200","유지","ASAD170",494,1017.000000,46,242.700000,25,52.200000,372.506840,9,2.058704,5.276087,2.088000,565,1311.900000,2.321947,1684.406840
"K111890","여",46,"16/01/97",45.500000,2,"선불","CAT 200","유지","S50",675,1107.000000,310,482.400000,4,18.000000,385.653853,34,1.640000,1.556129,4.500000,989,1607.400000,1.625278,1993.053853
"K112040","남",43,"28/10/97",36.000000,0,"선불","CAT 200","이탈","ASAD90",537,1109.400001,176,560.400001,9,47.400001,356.985311,42,2.065922,3.184091,5.266667,722,1717.200003,2.378393,2074.185314
"K112150","남",32,"10/06/98",28.500000,1,"선불","CAT 200","유지","S50",862,1780.800001,165,358.199999,6,26.000000,697.988018,87,2.065893,2.170909,4.333333,1033,2165.000000,2.095837,2862.988018
"K112170","남",41,"20/10/96",48.433333,7,"선불","CAT 200","유지","ASAD170",845,1350.600001,5,49.500000,31,50.399999,187.685224,24,1.598343,9.900000,1.625806,881,1450.500000,1.646425,1638.185224
"K112300","남",45,"27/06/97",40.100000,1,"선불","CAT 200","유지","S80",492,1017.000000,461,843.000000,0,0.000000,188.540806,51,2.067073,1.828633,0.000000,953,1860.000000,1.951731,2048.540806
"K112310","여",49,"22/07/96",51.433333,8,"선불","CAT 200","유지","S80",1725,2653.800000,262,421.500000,27,79.200000,345.840716,179,1.538435,1.608779,2.933333,2014,3154.500000,1.566286,3500.340716
"K112340","여",35,"14/05/99",17.233333,2,"선불","CAT 200","유지","ASAD170",486,748.800000,271,467.100000,73,114.600000,246.995246,10,1.540741,1.723616,1.569863,830,1330.500000,1.603012,1577.495246
